"Ind","Block","Pos","Date","Measurer","Egg","Larv","Adt","Wvl","OH","U","D","PropDam","Treatment"
"E1-93","E1","93",2020-06-18,"Darcey",NA,NA,NA,2,NA,3,0,0,"Sprayed"
"E1-94","E1","94",2020-06-18,"Darcey",NA,NA,NA,1,NA,6,0,0,"Sprayed"
"E1-95","E1","95",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-96","E1","96",2020-06-18,"Darcey",NA,NA,NA,0,NA,1,0,0,"Sprayed"
"E1-97","E1","97",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-98","E1","98",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-99","E1","99",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-100","E1","100",2020-06-18,"Darcey",NA,NA,NA,0,NA,6,0,0,"Sprayed"
"E1-101","E1","101",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,2,0.333333333333333,"Sprayed"
"E1-102","E1","102",2020-06-18,"Darcey",NA,NA,NA,2,NA,4,0,0,"Sprayed"
"E1-103","E1","103",2020-06-18,"Darcey",NA,NA,NA,0,NA,7,0,0,"Sprayed"
"E1-104","E1","104",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,0,0,"Sprayed"
"E1-105","E1","105",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-106","E1","106",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-107","E1","107",2020-06-18,"Darcey",NA,NA,NA,0,NA,7,0,0,"Sprayed"
"E1-108","E1","108",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-109","E1","109",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-110","E1","110",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-111","E1","111",2020-06-18,"Darcey",NA,NA,NA,0,NA,5,0,0,"Sprayed"
"E1-112","E1","112",2020-06-18,"Darcey",NA,NA,NA,1,NA,7,0,0,"Sprayed"
"E1-113","E1","113",2020-06-18,"Darcey",NA,NA,NA,2,NA,4,0,0,"Sprayed"
"E1-114","E1","114",2020-06-18,"Darcey",NA,NA,NA,NA,NA,NA,NA,NA,"Sprayed"
"E1-115","E1","115",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,1,0.25,"Sprayed"
"E1-116","E1","116",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-117","E1","117",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-118","E1","118",2020-06-18,"Darcey",NA,NA,NA,0,NA,5,0,0,"Sprayed"
"E1-119","E1","119",2020-06-18,"Darcey",NA,NA,NA,2,NA,6,0,0,"Sprayed"
"E1-120","E1","120",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-121","E1","121",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-122","E1","122",2020-06-18,"Darcey",NA,NA,NA,2,NA,2,0,0,"Sprayed"
"E1-123","E1","123",2020-06-18,"Darcey",NA,NA,NA,0,NA,11,0,0,"Sprayed"
"E1-124","E1","124",2020-06-18,"Darcey",NA,NA,NA,2,NA,4,1,0.2,"Sprayed"
"E1-125","E1","125",2020-06-18,"Darcey",NA,NA,NA,1,NA,7,0,0,"Sprayed"
"E1-126","E1","126",2020-06-18,"Darcey",NA,NA,NA,1,NA,10,0,0,"Sprayed"
"E1-127","E1","127",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,0,0,"Sprayed"
"E1-128","E1","128",2020-06-18,"Darcey",NA,NA,NA,0,NA,7,1,0.125,"Sprayed"
"E1-129","E1","129",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-130","E1","130",2020-06-18,"Darcey",NA,NA,NA,0,NA,6,0,0,"Sprayed"
"E1-131","E1","131",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,0,0,"Sprayed"
"E1-132","E1","132",2020-06-18,"Darcey",NA,NA,NA,2,NA,1,0,0,"Sprayed"
"E1-133","E1","133",2020-06-18,"Darcey",NA,NA,NA,3,NA,1,1,0.5,"Sprayed"
"E1-134","E1","134",2020-06-18,"Darcey",NA,NA,NA,0,NA,9,0,0,"Sprayed"
"E1-135","E1","135",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-136","E1","136",2020-06-18,"Darcey",NA,NA,NA,0,NA,4,0,0,"Sprayed"
"E1-137","E1","137",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-138","E1","138",2020-06-18,"Darcey",NA,NA,NA,2,NA,6,1,0.142857142857143,"Sprayed"
"E1-139","E1","139",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,0,0,"Sprayed"
"E1-140","E1","140",2020-06-18,"Darcey",NA,NA,NA,1,NA,8,0,0,"Sprayed"
"E1-141","E1","141",2020-06-18,"Darcey",NA,NA,NA,2,NA,0,3,1,"Sprayed"
"E1-142","E1","142",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-143","E1","143",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-144","E1","144",2020-06-18,"Darcey",NA,NA,NA,0,NA,2,0,0,"Sprayed"
"E1-145","E1","145",2020-06-18,"Darcey",NA,NA,NA,2,NA,1,1,0.5,"Sprayed"
"E1-146","E1","146",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-147","E1","147",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-148","E1","148",2020-06-18,"Darcey",NA,NA,NA,2,NA,4,2,0.333333333333333,"Sprayed"
"E1-149","E1","149",2020-06-18,"Darcey",NA,NA,NA,0,NA,1,0,0,"Sprayed"
"E1-150","E1","150",2020-06-18,"Darcey",NA,NA,NA,1,NA,5,0,0,"Sprayed"
"E1-151","E1","151",2020-06-18,"Darcey",NA,NA,NA,2,NA,0,1,1,"Sprayed"
"E1-152","E1","152",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-153","E1","153",2020-06-18,"Darcey",NA,NA,NA,0,NA,14,0,0,"Sprayed"
"E1-154","E1","154",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,1,0.25,"Sprayed"
"E1-155","E1","155",2020-06-18,"Darcey",NA,NA,NA,2,NA,4,0,0,"Sprayed"
"E1-157","E1","157",2020-06-18,"Darcey",NA,NA,NA,0,NA,7,0,0,"Sprayed"
"E1-158","E1","158",2020-06-18,"Darcey",NA,NA,NA,0,NA,2,0,0,"Sprayed"
"E1-159","E1","159",2020-06-18,"Darcey",NA,NA,NA,1,NA,5,0,0,"Sprayed"
"E1-160","E1","160",2020-06-18,"Darcey",NA,NA,NA,2,NA,4,0,0,"Sprayed"
"E1-161","E1","161",2020-06-18,"Darcey",NA,NA,NA,2,NA,5,0,0,"Sprayed"
"E1-162","E1","162",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-163","E1","163",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-164","E1","164",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-165","E1","165",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-166","E1","166",2020-06-18,"Darcey",NA,NA,NA,1,NA,6,0,0,"Sprayed"
"E1-167","E1","167",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-168","E1","168",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,0,0,"Sprayed"
"E1-169","E1","169",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,2,0.333333333333333,"Sprayed"
"E1-170","E1","170",2020-06-18,"Darcey",NA,NA,NA,0,NA,2,0,0,"Sprayed"
"E1-171","E1","171",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-172","E1","172",2020-06-18,"Darcey",NA,NA,NA,1,NA,8,0,0,"Sprayed"
"E1-173","E1","173",2020-06-18,"Darcey",NA,NA,NA,1,NA,9,1,0.1,"Sprayed"
"E1-174","E1","174",2020-06-18,"Darcey",NA,NA,NA,0,NA,8,0,0,"Sprayed"
"E1-175","E1","175",2020-06-18,"Darcey",NA,NA,NA,0,NA,6,0,0,"Sprayed"
"E1-176","E1","176",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-177","E1","177",2020-06-18,"Darcey",NA,NA,NA,1,NA,5,0,0,"Sprayed"
"E1-178","E1","178",2020-06-18,"Darcey",NA,NA,NA,0,NA,5,0,0,"Sprayed"
"E1-179","E1","179",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,0,0,"Sprayed"
"E1-180","E1","180",2020-06-18,"Darcey",NA,NA,NA,2,NA,3,0,0,"Sprayed"
"E1-181","E1","181",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-182","E1","182",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-183","E1","183",2020-06-18,"Darcey",NA,NA,NA,1,NA,5,0,0,"Sprayed"
"E1-184","E1","184",2020-06-18,"Darcey",NA,NA,NA,2,NA,5,1,0.166666666666667,"Sprayed"
"E1-185","E1","185",2020-06-18,"Darcey",NA,NA,NA,2,NA,2,1,0.333333333333333,"Sprayed"
"E1-186","E1","186",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-187","E1","187",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,0,0,"Sprayed"
"E1-188","E1","188",2020-06-18,"Darcey",NA,NA,NA,2,NA,6,0,0,"Sprayed"
"E1-189","E1","189",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-190","E1","190",2020-06-18,"Darcey",NA,NA,NA,1,NA,6,0,0,"Sprayed"
"E1-191","E1","191",2020-06-18,"Darcey",NA,NA,NA,2,NA,2,2,0.5,"Sprayed"
"E1-192","E1","192",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-193","E1","193",2020-06-18,"Darcey",NA,NA,NA,0,NA,2,0,0,"Sprayed"
"E1-194","E1","194",2020-06-18,"Darcey",NA,NA,NA,1,NA,6,0,0,"Sprayed"
"E1-195","E1","195",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-196","E1","196",2020-06-18,"Darcey",NA,NA,NA,1,NA,8,0,0,"Sprayed"
"E1-197","E1","197",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-198","E1","198",2020-06-18,"Darcey",NA,NA,NA,1,NA,5,1,0.166666666666667,"Sprayed"
"E1-199","E1","199",2020-06-18,"Darcey",NA,NA,NA,2,NA,6,1,0.142857142857143,"Sprayed"
"E1-200","E1","200",2020-06-18,"Darcey",NA,NA,NA,0,NA,6,0,0,"Sprayed"
"E2-1","E2","1",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,4,1,"Unsprayed"
"E2-2","E2","2",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,3,1,"Unsprayed"
"E2-3","E2","3",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,4,1,"Unsprayed"
"E2-4","E2","4",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,4,1,"Unsprayed"
"E2-5","E2","5",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,5,1,"Unsprayed"
"E2-6","E2","6",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,6,1,"Unsprayed"
"E2-7","E2","7",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,3,1,"Unsprayed"
"E2-8","E2","8",2020-06-18,"Darcey",NA,NA,NA,4,NA,1,10,0.909090909090909,"Unsprayed"
"E2-9","E2","9",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,5,1,"Unsprayed"
"E2-10","E2","10",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,6,1,"Unsprayed"
"E2-11","E2","11",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,7,1,"Unsprayed"
"E2-12","E2","12",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,2,1,"Unsprayed"
"E2-13","E2","13",2020-06-18,"Darcey",NA,NA,NA,3,NA,0,3,1,"Unsprayed"
"E2-14","E2","14",2020-06-18,"Darcey",NA,NA,NA,NA,NA,NA,NA,NA,"Unsprayed"
"E2-15","E2","15",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,2,1,"Unsprayed"
"E2-16","E2","16",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,5,1,"Unsprayed"
"E2-17","E2","17",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,4,1,"Unsprayed"
"E2-18","E2","18",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,5,1,"Unsprayed"
"E2-19","E2","19",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,4,1,"Unsprayed"
"E2-20","E2","20",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,2,1,"Unsprayed"
"E2-21","E2","21",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,6,1,"Unsprayed"
"E2-22","E2","22",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,4,1,"Unsprayed"
"E2-23","E2","23",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,8,1,"Unsprayed"
"E2-24","E2","24",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,3,1,"Unsprayed"
"E2-25","E2","25",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,2,1,"Unsprayed"
"E2-26","E2","26",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,4,1,"Unsprayed"
"E2-27","E2","27",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,3,1,"Unsprayed"
"E2-28","E2","28",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,3,1,"Unsprayed"
"E2-29","E2","29",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,7,1,"Unsprayed"
"E2-30","E2","30",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,2,1,"Unsprayed"
"E2-31","E2","31",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,4,1,"Unsprayed"
"E2-32","E2","32",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,4,1,"Unsprayed"
"E2-33","E2","33",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,6,1,"Unsprayed"
"E2-34","E2","34",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,6,1,"Unsprayed"
"E2-35","E2","35",2020-06-18,"Darcey",NA,NA,NA,4,NA,1,5,0.833333333333333,"Unsprayed"
"E2-36","E2","36",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,3,1,"Unsprayed"
"E2-37","E2","37",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,2,1,"Unsprayed"
"E2-38","E2","38",2020-06-18,"Darcey",NA,NA,NA,3,NA,2,7,0.777777777777778,"Unsprayed"
"E2-39","E2","39",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,8,1,"Unsprayed"
"E2-40","E2","40",2020-06-18,"Darcey",NA,NA,NA,3,NA,1,3,0.75,"Unsprayed"
"E2-41","E2","41",2020-06-18,"Darcey",NA,NA,NA,3,NA,1,4,0.8,"Unsprayed"
"E2-42","E2","42",2020-06-18,"Darcey",NA,NA,NA,NA,NA,NA,NA,NA,"Unsprayed"
"E2-43","E2","43",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,3,1,"Unsprayed"
"E2-44","E2","44",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,4,1,"Unsprayed"
"E2-45","E2","45",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,5,1,"Unsprayed"
"E2-46","E2","46",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,5,1,"Unsprayed"
"E2-47","E2","47",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,9,1,"Unsprayed"
"E2-48","E2","48",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,5,1,"Unsprayed"
"E2-49","E2","49",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,5,1,"Unsprayed"
"E2-50","E2","50",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,6,1,"Unsprayed"
"E2-51","E2","51",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,11,1,"Unsprayed"
"E2-52","E2","52",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,2,1,"Unsprayed"
"E2-53","E2","53",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,4,1,"Unsprayed"
"E2-54","E2","54",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,4,1,"Unsprayed"
"E2-55","E2","55",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,10,1,"Unsprayed"
"E2-56","E2","56",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,4,1,"Unsprayed"
"E2-57","E2","57",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,6,1,"Unsprayed"
"E2-58","E2","58",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,4,1,"Unsprayed"
"E2-59","E2","59",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,6,1,"Unsprayed"
"E2-60","E2","60",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,5,1,"Unsprayed"
"E2-61","E2","61",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,4,1,"Unsprayed"
"E2-62","E2","62",2020-06-18,"Darcey",NA,NA,NA,4,NA,0,6,1,"Unsprayed"
"E2-63","E2","63",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,4,1,"Unsprayed"
"E2-64","E2","64",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,5,1,"Unsprayed"
"E2-65","E2","65",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,6,1,"Unsprayed"
"E2-66","E2","66",2020-06-18,"Darcey",NA,NA,NA,NA,NA,NA,NA,NA,"Unsprayed"
"E2-67","E2","67",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,2,1,"Unsprayed"
"E2-68","E2","68",2020-06-18,"Darcey",NA,NA,NA,5,NA,0,6,1,"Unsprayed"
