"Ind","Block","Position","Date","Measurer","Veg","Bud","Flr","Frt","Abt","M","S","N","round","ind_round"
"E3-109","E3","109",2023-06-07,"Serena/Jerry",46,NA,NA,NA,NA,"","","","1","E3-109_1"
"E3-110","E3","110",2023-06-07,"Serena/Jerry",30,NA,NA,NA,NA,"","","","1","E3-110_1"
"E3-111","E3","111",2023-06-07,"Serena/Jerry",35,NA,NA,NA,NA,"","","","1","E3-111_1"
"E3-112","E3","112",2023-06-07,"Serena/Jerry",61,NA,NA,NA,NA,"","","","1","E3-112_1"
"E3-113","E3","113",2023-06-07,"Serena/Jerry",43,NA,NA,NA,NA,"","","","1","E3-113_1"
"E3-114","E3","114",2023-06-07,"Serena/Jerry",37,NA,NA,NA,NA,"","","","1","E3-114_1"
"E3-115","E3","115",2023-06-07,"Serena/Jerry",62,NA,NA,NA,NA,"","","","1","E3-115_1"
"E3-116","E3","116",2023-06-07,"Serena/Jerry",64,NA,NA,NA,NA,"","","","1","E3-116_1"
"E3-117","E3","117",2023-06-07,"Serena/Jerry",38,NA,NA,NA,NA,"","","","1","E3-117_1"
"E3-118","E3","118",2023-06-07,"Serena/Jerry",29,NA,NA,NA,NA,"","","","1","E3-118_1"
"E3-119","E3","119",2023-06-07,"Serena/Jerry",41,NA,NA,NA,NA,"","","","1","E3-119_1"
"E3-120","E3","120",2023-06-07,"Serena/Jerry",25,NA,NA,NA,NA,"","","","1","E3-120_1"
"E3-121","E3","121",2023-06-07,"Serena/Jerry",52,NA,NA,NA,NA,"","","","1","E3-121_1"
"E3-122","E3","122",2023-06-07,"Serena/Jerry",42,NA,NA,NA,NA,"","","","1","E3-122_1"
"E3-123","E3","123",2023-06-07,"Serena/Jerry",21,NA,NA,NA,NA,"","","","1","E3-123_1"
"E3-124","E3","124",2023-06-07,"Serena/Jerry",24,NA,NA,NA,NA,"","","","1","E3-124_1"
"E3-125","E3","125",2023-06-07,"Serena/Jerry",40,NA,NA,NA,NA,"","","","1","E3-125_1"
"E3-126","E3","126",2023-06-07,"Serena/Jerry",51,NA,NA,NA,NA,"","","","1","E3-126_1"
"E3-127","E3","127",2023-06-07,"Serena/Jerry",42,NA,NA,NA,NA,"","","","1","E3-127_1"
"E3-128","E3","128",2023-06-07,"Serena/Jerry",46,NA,NA,NA,NA,"","","","1","E3-128_1"
"E3-129","E3","129",2023-06-07,"Serena/Jerry",42,NA,NA,NA,NA,"","","","1","E3-129_1"
"E3-130","E3","130",2023-06-07,"Serena/Jerry",42,NA,NA,NA,NA,"","","","1","E3-130_1"
"E3-131","E3","131",2023-06-07,"Serena/Jerry",71,NA,NA,NA,NA,"","","","1","E3-131_1"
"E3-132","E3","132",2023-06-07,"Serena/Jerry",48,NA,NA,NA,NA,"","","","1","E3-132_1"
"E3-133","E3","133",2023-06-07,"Serena/Jerry",50,NA,NA,NA,NA,"","","","1","E3-133_1"
"E3-134","E3","134",2023-06-07,"Serena/Jerry",39,NA,NA,NA,NA,"","","","1","E3-134_1"
"E3-135","E3","135",2023-06-07,"Serena/Jerry",48,NA,NA,NA,NA,"","","","1","E3-135_1"
"E3-136","E3","136",2023-06-07,"Serena/Jerry",50,NA,NA,NA,NA,"","","","1","E3-136_1"
"E3-137","E3","137",2023-06-07,"Serena/Jerry",48,NA,NA,NA,NA,"","","","1","E3-137_1"
"E3-138","E3","138",2023-06-07,"Serena/Jerry",27,NA,NA,NA,NA,"","","","1","E3-138_1"
"E3-139","E3","139",2023-06-07,"Serena/Jerry",48,NA,NA,NA,NA,"","","","1","E3-139_1"
"E3-140","E3","140",2023-06-07,"Serena/Jerry",48,NA,NA,NA,NA,"","","","1","E3-140_1"
"E3-141","E3","141",2023-06-07,"Serena/Jerry",67,NA,NA,NA,NA,"","","","1","E3-141_1"
"E3-142","E3","142",2023-06-07,"Serena/Jerry",31,NA,NA,NA,NA,"","","","1","E3-142_1"
"E3-143","E3","143",2023-06-07,"Serena/Jerry",41,NA,NA,NA,NA,"","","","1","E3-143_1"
"E3-144","E3","144",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-144_1"
"E3-145","E3","145",2023-06-07,"Serena/Jerry",41,NA,NA,NA,NA,"","","","1","E3-145_1"
"E3-146","E3","146",2023-06-07,"Serena/Jerry",43,NA,NA,NA,NA,"","","","1","E3-146_1"
"E3-147","E3","147",2023-06-07,"Serena/Jerry",40,NA,NA,NA,NA,"","","","1","E3-147_1"
"E3-148","E3","148",2023-06-07,"Serena/Jerry",49,NA,NA,NA,NA,"","","","1","E3-148_1"
"E3-149","E3","149",2023-06-07,"Serena/Jerry",39,NA,NA,NA,NA,"","","","1","E3-149_1"
"E3-150","E3","150",2023-06-07,"Serena/Jerry",62,NA,NA,NA,NA,"","","","1","E3-150_1"
"E3-151","E3","151",2023-06-07,"Serena/Jerry",59,NA,NA,NA,NA,"","","","1","E3-151_1"
"E3-152","E3","152",2023-06-07,"Serena/Jerry",24,NA,NA,NA,NA,"","","","1","E3-152_1"
"E3-153","E3","153",2023-06-07,"Serena/Jerry",43,NA,NA,NA,NA,"","","","1","E3-153_1"
"E3-154","E3","154",2023-06-07,"Serena/Jerry",39,NA,NA,NA,NA,"","","","1","E3-154_1"
"E3-155","E3","155",2023-06-07,"Serena/Jerry",40,NA,NA,NA,NA,"","","","1","E3-155_1"
"E3-156","E3","156",2023-06-07,"Serena/Jerry",50,NA,NA,NA,NA,"","","","1","E3-156_1"
"E3-157","E3","157",2023-06-07,"Serena/Jerry",57,NA,NA,NA,NA,"","","","1","E3-157_1"
"E3-158","E3","158",2023-06-07,"Serena/Jerry",26,NA,NA,NA,NA,"","","","1","E3-158_1"
"E3-159","E3","159",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-159_1"
"E3-160","E3","160",2023-06-07,"Serena/Jerry",43,NA,NA,NA,NA,"","","","1","E3-160_1"
"E3-161","E3","161",2023-06-07,"Serena/Jerry",59,NA,NA,NA,NA,"","","","1","E3-161_1"
"E3-162","E3","162",2023-06-07,"Serena/Jerry",NA,NA,NA,NA,NA,"","","","1","E3-162_1"
"E3-163","E3","163",2023-06-07,"Serena/Jerry",34,NA,NA,NA,NA,"","","","1","E3-163_1"
"E3-164","E3","164",2023-06-07,"Serena/Jerry",36,NA,NA,NA,NA,"","","","1","E3-164_1"
"E3-165","E3","165",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-165_1"
"E3-166","E3","166",2023-06-07,"Serena/Jerry",57,NA,NA,NA,NA,"","","","1","E3-166_1"
"E3-167","E3","167",2023-06-07,"Serena/Jerry",20,NA,NA,NA,NA,"","","","1","E3-167_1"
"E3-168","E3","168",2023-06-07,"Serena/Jerry",48,NA,NA,NA,NA,"","","","1","E3-168_1"
"E3-169","E3","169",2023-06-07,"Serena/Jerry",43,NA,NA,NA,NA,"","","","1","E3-169_1"
"E3-170","E3","170",2023-06-07,"Serena/Jerry",28,NA,NA,NA,NA,"","","","1","E3-170_1"
"E3-171","E3","171",2023-06-07,"Serena/Jerry",46,NA,NA,NA,NA,"","","","1","E3-171_1"
"E3-172","E3","172",2023-06-07,"Serena/Jerry",40,NA,NA,NA,NA,"","","","1","E3-172_1"
"E3-173","E3","173",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-173_1"
"E3-174","E3","174",2023-06-07,"Serena/Jerry",30,NA,NA,NA,NA,"","","","1","E3-174_1"
"E3-175","E3","175",2023-06-07,"Serena/Jerry",53,NA,NA,NA,NA,"","","","1","E3-175_1"
"E3-176","E3","176",2023-06-07,"Serena/Jerry",50,NA,NA,NA,NA,"","","","1","E3-176_1"
"E3-177","E3","177",2023-06-07,"Serena/Jerry",NA,NA,NA,NA,NA,"","","","1","E3-177_1"
"E3-178","E3","178",2023-06-07,"Serena/Jerry",63,NA,NA,NA,NA,"","","","1","E3-178_1"
"E3-179","E3","179",2023-06-07,"Serena/Jerry",52,NA,NA,NA,NA,"","","","1","E3-179_1"
"E3-180","E3","180",2023-06-07,"Serena/Jerry",63,NA,NA,NA,NA,"","","","1","E3-180_1"
"E3-181","E3","181",2023-06-07,"Serena/Jerry",37,NA,NA,NA,NA,"","","","1","E3-181_1"
"E3-182","E3","182",2023-06-07,"Serena/Jerry",NA,NA,NA,NA,NA,"","","","1","E3-182_1"
"E3-183","E3","183",2023-06-07,"Serena/Jerry",40,NA,NA,NA,NA,"","","","1","E3-183_1"
"E3-184","E3","184",2023-06-07,"Serena/Jerry",49,NA,NA,NA,NA,"","","","1","E3-184_1"
"E3-185","E3","185",2023-06-07,"Serena/Jerry",46,NA,NA,NA,NA,"","","","1","E3-185_1"
"E3-186","E3","186",2023-06-07,"Serena/Jerry",29,NA,NA,NA,NA,"","","","1","E3-186_1"
"E3-187","E3","187",2023-06-07,"Serena/Jerry",30,NA,NA,NA,NA,"","","","1","E3-187_1"
"E3-188","E3","188",2023-06-07,"Serena/Jerry",NA,NA,NA,NA,NA,"","","","1","E3-188_1"
"E3-189","E3","189",2023-06-07,"Serena/Jerry",40,NA,NA,NA,NA,"","","","1","E3-189_1"
"E3-190","E3","190",2023-06-07,"Serena/Jerry",42,NA,NA,NA,NA,"","","","1","E3-190_1"
"E3-191","E3","191",2023-06-07,"Serena/Jerry",34,NA,NA,NA,NA,"","","","1","E3-191_1"
"E3-192","E3","192",2023-06-07,"Serena/Jerry",35,NA,NA,NA,NA,"","","","1","E3-192_1"
"E3-193","E3","193",2023-06-07,"Serena/Jerry",43,NA,NA,NA,NA,"","","","1","E3-193_1"
"E3-194","E3","194",2023-06-07,"Serena/Jerry",75,NA,NA,NA,NA,"","","","1","E3-194_1"
"E3-195","E3","195",2023-06-07,"Serena/Jerry",42,NA,NA,NA,NA,"","","","1","E3-195_1"
"E3-196","E3","196",2023-06-07,"Serena/Jerry",39,NA,NA,NA,NA,"","","","1","E3-196_1"
"E3-197","E3","197",2023-06-07,"Serena/Jerry",48,NA,NA,NA,NA,"","","","1","E3-197_1"
"E3-198","E3","198",2023-06-07,"Serena/Jerry",55,NA,NA,NA,NA,"","","","1","E3-198_1"
"E3-199","E3","199",2023-06-07,"Serena/Jerry",36,NA,NA,NA,NA,"","","","1","E3-199_1"
"E3-200","E3","200",2023-06-07,"Serena/Jerry",36,NA,NA,NA,NA,"","","","1","E3-200_1"
"E4-1","E4","1",2023-06-07,"Julia/William",NA,NA,NA,NA,NA,"","","","1","E4-1_1"
"E4-2","E4","2",2023-06-07,"Julia/William",NA,NA,NA,NA,NA,"","","","1","E4-2_1"
"E4-3","E4","3",2023-06-07,"Julia/William",42,NA,NA,NA,NA,"","","","1","E4-3_1"
"E4-4","E4","4",2023-06-07,"Julia/William",41,NA,NA,NA,NA,"","","","1","E4-4_1"
"E4-5","E4","5",2023-06-07,"Julia/William",30,NA,NA,NA,NA,"","","","1","E4-5_1"
"E4-6","E4","6",2023-06-07,"Julia/William",32,NA,NA,NA,NA,"","","","1","E4-6_1"
"E4-7","E4","7",2023-06-07,"Julia/William",38,NA,NA,NA,NA,"","","","1","E4-7_1"
"E4-8","E4","8",2023-06-07,"Julia/William",24,NA,NA,NA,NA,"","","","1","E4-8_1"
"E4-9","E4","9",2023-06-07,"Julia/William",31,NA,NA,NA,NA,"","","","1","E4-9_1"
"E4-10","E4","10",2023-06-07,"Julia/William",22,NA,NA,NA,NA,"","","","1","E4-10_1"
"E4-11","E4","11",2023-06-07,"Julia/William",39,NA,NA,NA,NA,"","","","1","E4-11_1"
"E4-12","E4","12",2023-06-07,"Julia/William",35,NA,NA,NA,NA,"","","","1","E4-12_1"
"E4-13","E4","13",2023-06-07,"Julia/William",34,NA,NA,NA,NA,"","","","1","E4-13_1"
"E4-14","E4","14",2023-06-07,"Julia/William",39,NA,NA,NA,NA,"","","","1","E4-14_1"
"E4-15","E4","15",2023-06-07,"Julia/William",24,NA,NA,NA,NA,"","","","1","E4-15_1"
"E4-16","E4","16",2023-06-07,"Julia/William",54,NA,NA,NA,NA,"","","","1","E4-16_1"
"E4-17","E4","17",2023-06-07,"Julia/William",53,NA,NA,NA,NA,"","","","1","E4-17_1"
"E4-18","E4","18",2023-06-07,"Julia/William",28,NA,NA,NA,NA,"","","","1","E4-18_1"
"E4-19","E4","19",2023-06-07,"Julia/William",67,NA,NA,NA,NA,"","","","1","E4-19_1"
"E4-20","E4","20",2023-06-07,"Julia/William",47,NA,NA,NA,NA,"","","","1","E4-20_1"
"E4-21","E4","21",2023-06-07,"Julia/William",38,NA,NA,NA,NA,"","","","1","E4-21_1"
"E4-22","E4","22",2023-06-07,"Julia/William",19,NA,NA,NA,NA,"","","","1","E4-22_1"
"E4-23","E4","23",2023-06-07,"Julia/William",19,NA,NA,NA,NA,"","","","1","E4-23_1"
"E4-24","E4","24",2023-06-07,"Julia/William",35,NA,NA,NA,NA,"","","","1","E4-24_1"
"E4-25","E4","25",2023-06-07,"Julia/William",36,NA,NA,NA,NA,"","","","1","E4-25_1"
"E4-26","E4","26",2023-06-07,"Julia/William",34,NA,NA,NA,NA,"","","","1","E4-26_1"
"E4-27","E4","27",2023-06-07,"Julia/William",35,NA,NA,NA,NA,"","","","1","E4-27_1"
"E4-28","E4","28",2023-06-07,"Julia/William",57,NA,NA,NA,NA,"","","","1","E4-28_1"
"E4-29","E4","29",2023-06-07,"Julia/William",43,NA,NA,NA,NA,"","","","1","E4-29_1"
"E4-30","E4","30",2023-06-07,"Julia/William",42,NA,NA,NA,NA,"","","","1","E4-30_1"
"E4-31","E4","31",2023-06-07,"Julia/William",34,NA,NA,NA,NA,"","","","1","E4-31_1"
"E4-32","E4","32",2023-06-07,"Julia/William",40,NA,NA,NA,NA,"","","","1","E4-32_1"
"E4-33","E4","33",2023-06-07,"Julia/William",52,NA,NA,NA,NA,"","","","1","E4-33_1"
"E4-34","E4","34",2023-06-07,"Julia/William",44,NA,NA,NA,NA,"","","","1","E4-34_1"
"E4-35","E4","35",2023-06-07,"Julia/William",49,NA,NA,NA,NA,"","","","1","E4-35_1"
"E4-36","E4","36",2023-06-07,"Julia/William",39,NA,NA,NA,NA,"","","","1","E4-36_1"
"E4-37","E4","37",2023-06-07,"Julia/William",38,NA,NA,NA,NA,"","","","1","E4-37_1"
"E4-38","E4","38",2023-06-07,"Julia/William",48,NA,NA,NA,NA,"","","","1","E4-38_1"
"E4-39","E4","39",2023-06-07,"Julia/William",39,NA,NA,NA,NA,"","","","1","E4-39_1"
"E4-40","E4","40",2023-06-07,"Julia/William",37,NA,NA,NA,NA,"","","","1","E4-40_1"
"E4-41","E4","41",2023-06-07,"Julia/William",21,NA,NA,NA,NA,"","","","1","E4-41_1"
"E4-42","E4","42",2023-06-07,"Julia/William",30,NA,NA,NA,NA,"","","","1","E4-42_1"
"E4-43","E4","43",2023-06-07,"Julia/William",31,NA,NA,NA,NA,"","","","1","E4-43_1"
"E4-44","E4","44",2023-06-07,"Julia/William",22,NA,NA,NA,NA,"","","","1","E4-44_1"
"E4-45","E4","45",2023-06-07,"Julia/William",34,NA,NA,NA,NA,"","","","1","E4-45_1"
"E4-46","E4","46",2023-06-07,"Julia/William",66,NA,NA,NA,NA,"","","","1","E4-46_1"
"E4-47","E4","47",2023-06-07,"Julia/William",13,NA,NA,NA,NA,"","","","1","E4-47_1"
"E4-48","E4","48",2023-06-07,"Julia/William",43.5,NA,NA,NA,NA,"","","","1","E4-48_1"
"E4-49","E4","49",2023-06-07,"Julia/William",36,NA,NA,NA,NA,"","","","1","E4-49_1"
"E4-50","E4","50",2023-06-07,"Julia/William",29,NA,NA,NA,NA,"","","","1","E4-50_1"
