"Ind","Block","Pos","Date","Measurer","Veg","Bud","Flr","Fert","Abt","M","S","N","X","round","ind_round"
"E3-49","E3","49",2021-06-02,"Maya",8,NA,NA,NA,NA,"",NA,"","","1","E3-49_1"
"E3-50","E3","50",2021-06-02,"Maya",13,NA,NA,NA,NA,"",NA,"","","1","E3-50_1"
"E3-51","E3","51",2021-06-02,"Maya",10,NA,NA,NA,NA,"",NA,"","","1","E3-51_1"
"E3-52","E3","52",2021-06-02,"Maya",15,NA,NA,NA,NA,"",NA,"","","1","E3-52_1"
"E3-53","E3","53",2021-06-02,"Maya",34,NA,NA,NA,NA,"",NA,"","","1","E3-53_1"
"E3-54","E3","54",2021-06-02,"Maya",11,NA,NA,NA,NA,"",NA,"","","1","E3-54_1"
"E3-55","E3","55",2021-06-02,"Maya",17,NA,NA,NA,NA,"",NA,"","","1","E3-55_1"
"E3-56","E3","56",2021-06-02,"Maya",11,NA,NA,NA,NA,"",NA,"","","1","E3-56_1"
"E3-57","E3","57",2021-06-02,"Maya",12,NA,NA,NA,NA,"",NA,"","","1","E3-57_1"
"E3-58","E3","58",2021-06-02,"Maya",16,NA,NA,NA,NA,"",NA,"","","1","E3-58_1"
"E3-59","E3","59",2021-06-02,"Maya",8,NA,NA,NA,NA,"",NA,"","","1","E3-59_1"
"E3-60","E3","60",2021-06-02,"Maya",11,NA,NA,NA,NA,"",NA,"","","1","E3-60_1"
"E3-61","E3","61",2021-06-02,"Maya",11,NA,NA,NA,NA,"",NA,"","","1","E3-61_1"
"E3-62","E3","62",2021-06-02,"Maya",15,NA,NA,NA,NA,"",NA,"","","1","E3-62_1"
"E3-63","E3","63",2021-06-02,"Maya",21,NA,NA,NA,NA,"",NA,"","","1","E3-63_1"
"E3-64","E3","64",2021-06-02,"Maya",14,NA,NA,NA,NA,"",NA,"","","1","E3-64_1"
"E3-65","E3","65",2021-06-02,"Maya",12,NA,NA,NA,NA,"",NA,"","","1","E3-65_1"
"E3-66","E3","66",2021-06-02,"Maya",18,NA,NA,NA,NA,"",NA,"","","1","E3-66_1"
"E3-67","E3","67",2021-06-02,"Maya",NA,NA,NA,NA,NA,"",NA,"","","1","E3-67_1"
"E3-68","E3","68",2021-06-02,"Maya",17,NA,NA,NA,NA,"",NA,"","","1","E3-68_1"
"E3-69","E3","69",2021-06-02,"Maya",11,NA,NA,NA,NA,"",NA,"","","1","E3-69_1"
"E3-70","E3","70",2021-06-02,"Maya",NA,NA,NA,NA,NA,"",NA,"","","1","E3-70_1"
"E3-71","E3","71",2021-06-02,"Maya",10,NA,NA,NA,NA,"",NA,"","","1","E3-71_1"
"E3-72","E3","72",2021-06-02,"Maya",12,NA,NA,NA,NA,"",NA,"","","1","E3-72_1"
"E3-73","E3","73",2021-06-02,"Maya",30,NA,NA,NA,NA,"",NA,"","","1","E3-73_1"
"E3-74","E3","74",2021-06-02,"Maya",10,NA,NA,NA,NA,"",NA,"","","1","E3-74_1"
"E3-75","E3","75",2021-06-02,"Maya",21,NA,NA,NA,NA,"",NA,"","","1","E3-75_1"
"E3-76","E3","76",2021-06-02,"Maya",16,NA,NA,NA,NA,"",NA,"","","1","E3-76_1"
"E3-77","E3","77",2021-06-02,"Maya",NA,NA,NA,NA,NA,"",NA,"","","1","E3-77_1"
"E3-78","E3","78",2021-06-02,"Maya",NA,NA,NA,NA,NA,"",NA,"","","1","E3-78_1"
"E3-79","E3","79",2021-06-02,"Maya",14,NA,NA,NA,NA,"",NA,"","","1","E3-79_1"
"E3-80","E3","80",2021-06-02,"Maya",22.5,NA,NA,NA,NA,"",NA,"","","1","E3-80_1"
"E3-81","E3","81",2021-06-02,"Maya",17,NA,NA,NA,NA,"",NA,"","","1","E3-81_1"
"E3-82","E3","82",2021-06-02,"Maya",8,NA,NA,NA,NA,"",NA,"","","1","E3-82_1"
"E3-83","E3","83",2021-06-02,"Maya",14,NA,NA,NA,NA,"",NA,"","","1","E3-83_1"
"E3-84","E3","84",2021-06-02,"Maya",20,NA,NA,NA,NA,"",NA,"","","1","E3-84_1"
"E3-85","E3","85",2021-06-02,"Maya",21,NA,NA,NA,NA,"",NA,"","","1","E3-85_1"
"E3-86","E3","86",2021-06-02,"Maya",18,NA,NA,NA,NA,"",NA,"","","1","E3-86_1"
"E3-87","E3","87",2021-06-02,"Maya",20,NA,NA,NA,NA,"",NA,"","","1","E3-87_1"
"E3-88","E3","88",2021-06-02,"Maya",30,NA,NA,NA,NA,"",NA,"","","1","E3-88_1"
"E3-89","E3","89",2021-06-02,"Maya",30.5,NA,NA,NA,NA,"",NA,"","","1","E3-89_1"
"E3-90","E3","90",2021-06-02,"Maya",10,NA,NA,NA,NA,"",NA,"","","1","E3-90_1"
"E3-91","E3","91",2021-06-02,"Maya",NA,NA,NA,NA,NA,"",NA,"","","1","E3-91_1"
"E3-92","E3","92",2021-06-02,"Maya",15.5,NA,NA,NA,NA,"",NA,"","","1","E3-92_1"
"E3-93","E3","93",2021-06-02,"Maya",17,NA,NA,NA,NA,"",NA,"","","1","E3-93_1"
"E3-94","E3","94",2021-06-02,"Maya",16,NA,NA,NA,NA,"",NA,"","","1","E3-94_1"
"E3-95","E3","95",2021-06-02,"Maya",13,NA,NA,NA,NA,"",NA,"","","1","E3-95_1"
"E3-96","E3","96",2021-06-02,"Maya",15,NA,NA,NA,NA,"",NA,"","","1","E3-96_1"
"E3-97","E3","97",2021-06-02,"Maya",13,NA,NA,NA,NA,"",NA,"","","1","E3-97_1"
"E3-98","E3","98",2021-06-02,"Maya",24,NA,NA,NA,NA,"",NA,"","","1","E3-98_1"
"E3-99","E3","99",2021-06-02,"Maya",22,NA,NA,NA,NA,"",NA,"","","1","E3-99_1"
"E3-100","E3","100",2021-06-02,"Maya",NA,NA,NA,NA,NA,"",NA,"","","1","E3-100_1"
"E3-101","E3","101",2021-06-02,"Logan/Diego",9,NA,NA,NA,NA,"",NA,"","","1","E3-101_1"
"E3-102","E3","102",2021-06-02,"Logan/Diego",16,NA,NA,NA,NA,"",NA,"","","1","E3-102_1"
"E3-103","E3","103",2021-06-02,"Logan/Diego",14.5,NA,NA,NA,NA,"",NA,"","","1","E3-103_1"
"E3-104","E3","104",2021-06-02,"Logan/Diego",19,NA,NA,NA,NA,"",NA,"","","1","E3-104_1"
"E3-105","E3","105",2021-06-02,"Logan/Diego",14,NA,NA,NA,NA,"",NA,"","","1","E3-105_1"
"E3-106","E3","106",2021-06-02,"Logan/Diego",24,NA,NA,NA,NA,"",NA,"","","1","E3-106_1"
"E3-107","E3","107",2021-06-02,"Logan/Diego",11.5,NA,NA,NA,NA,"",NA,"","","1","E3-107_1"
"E3-108","E3","108",2021-06-02,"Logan/Diego",13,NA,NA,NA,NA,"",NA,"","","1","E3-108_1"
"E3-109","E3","109",2021-06-02,"Logan/Diego",30,NA,NA,NA,NA,"",NA,"","","1","E3-109_1"
"E3-110","E3","110",2021-06-02,"Logan/Diego",12,NA,NA,NA,NA,"",NA,"","","1","E3-110_1"
"E3-111","E3","111",2021-06-02,"Logan/Diego",22,NA,NA,NA,NA,"",NA,"","","1","E3-111_1"
"E3-112","E3","112",2021-06-02,"Logan/Diego",16,NA,NA,NA,NA,"",NA,"","","1","E3-112_1"
"E3-113","E3","113",2021-06-02,"Logan/Diego",20.5,NA,NA,NA,NA,"",NA,"","","1","E3-113_1"
"E3-114","E3","114",2021-06-02,"Logan/Diego",22,NA,NA,NA,NA,"",NA,"","","1","E3-114_1"
"E3-115","E3","115",2021-06-02,"Logan/Diego",20,NA,NA,NA,NA,"",NA,"","","1","E3-115_1"
"E3-116","E3","116",2021-06-02,"Logan/Diego",17,NA,NA,NA,NA,"",NA,"","","1","E3-116_1"
"E3-117","E3","117",2021-06-02,"Logan/Diego",20.5,NA,NA,NA,NA,"",NA,"","","1","E3-117_1"
"E3-118","E3","118",2021-06-02,"Logan/Diego",24.5,NA,NA,NA,NA,"",NA,"","","1","E3-118_1"
"E3-119","E3","119",2021-06-02,"Logan/Diego",23,NA,NA,NA,NA,"",NA,"","","1","E3-119_1"
"E3-120","E3","120",2021-06-02,"Logan/Diego",17,NA,NA,NA,NA,"",NA,"","","1","E3-120_1"
"E3-121","E3","121",2021-06-02,"Logan/Diego",21,NA,NA,NA,NA,"",NA,"","","1","E3-121_1"
"E3-122","E3","122",2021-06-02,"Logan/Diego",17,NA,NA,NA,NA,"",NA,"","","1","E3-122_1"
"E3-123","E3","123",2021-06-02,"Logan/Diego",15,NA,NA,NA,NA,"",NA,"","","1","E3-123_1"
"E3-124","E3","124",2021-06-02,"Logan/Diego",14,NA,NA,NA,NA,"",NA,"","","1","E3-124_1"
"E3-125","E3","125",2021-06-02,"Logan/Diego",14,NA,NA,NA,NA,"",NA,"","","1","E3-125_1"
"E3-126","E3","126",2021-06-02,"Logan/Diego",29,NA,NA,NA,NA,"",NA,"","","1","E3-126_1"
"E3-127","E3","127",2021-06-02,"Logan/Diego",28,NA,NA,NA,NA,"",NA,"","","1","E3-127_1"
"E3-128","E3","128",2021-06-02,"Logan/Diego",28,NA,NA,NA,NA,"",NA,"","","1","E3-128_1"
"E3-129","E3","129",2021-06-02,"Logan/Diego",27,NA,NA,NA,NA,"",NA,"","","1","E3-129_1"
"E3-130","E3","130",2021-06-02,"Logan/Diego",18,NA,NA,NA,NA,"",NA,"","","1","E3-130_1"
"E3-131","E3","131",2021-06-02,"Logan/Diego",30.5,NA,NA,NA,NA,"",NA,"","","1","E3-131_1"
"E3-132","E3","132",2021-06-02,"Logan/Diego",11.5,NA,NA,NA,NA,"",NA,"","","1","E3-132_1"
"E3-133","E3","133",2021-06-02,"Logan/Diego",28,NA,NA,NA,NA,"",NA,"","","1","E3-133_1"
"E3-134","E3","134",2021-06-02,"Logan/Diego",16,NA,NA,NA,NA,"",NA,"","","1","E3-134_1"
"E3-135","E3","135",2021-06-02,"Logan/Diego",19,NA,NA,NA,NA,"",NA,"","","1","E3-135_1"
"E3-136","E3","136",2021-06-02,"Logan/Diego",17,NA,NA,NA,NA,"",NA,"","","1","E3-136_1"
"E3-137","E3","137",2021-06-02,"Logan/Diego",14,NA,NA,NA,NA,"",NA,"","","1","E3-137_1"
"E3-138","E3","138",2021-06-02,"Logan/Diego",12,NA,NA,NA,NA,"",NA,"","","1","E3-138_1"
"E3-139","E3","139",2021-06-02,"Logan/Diego",19,NA,NA,NA,NA,"",NA,"","","1","E3-139_1"
"E3-140","E3","140",2021-06-02,"Logan/Diego",15,NA,NA,NA,NA,"",NA,"","","1","E3-140_1"
"E3-141","E3","141",2021-06-02,"Logan/Diego",31,NA,NA,NA,NA,"",NA,"","","1","E3-141_1"
"E3-142","E3","142",2021-06-02,"Logan/Diego",4,NA,NA,NA,NA,"",NA,"","","1","E3-142_1"
"E3-143","E3","143",2021-06-02,"Logan/Diego",25,NA,NA,NA,NA,"",NA,"","","1","E3-143_1"
"E3-144","E3","144",2021-06-02,"Logan/Diego",14,NA,NA,NA,NA,"",NA,"","","1","E3-144_1"
"E3-145","E3","145",2021-06-02,"Logan/Diego",19,NA,NA,NA,NA,"",NA,"","","1","E3-145_1"
"E3-146","E3","146",2021-06-02,"Logan/Diego",24,NA,NA,NA,NA,"",NA,"","","1","E3-146_1"
"E3-147","E3","147",2021-06-02,"Logan/Diego",21,NA,NA,NA,NA,"",NA,"","","1","E3-147_1"
"E3-148","E3","148",2021-06-02,"Logan/Diego",19,NA,NA,NA,NA,"",NA,"","","1","E3-148_1"
"E3-149","E3","149",2021-06-02,"Logan/Diego",30,NA,NA,NA,NA,"",NA,"","","1","E3-149_1"
"E3-150","E3","150",2021-06-02,"Logan/Diego",16,NA,NA,NA,NA,"",NA,"","","1","E3-150_1"
"E3-151","E3","151",2021-06-02,"Logan/Diego",20,NA,NA,NA,NA,"",NA,"","","1","E3-151_1"
"E3-152","E3","152",2021-06-02,"Logan/Diego",17,NA,NA,NA,NA,"",NA,"","","1","E3-152_1"
"E3-153","E3","153",2021-06-02,"Logan/Diego",17.5,NA,NA,NA,NA,"",NA,"","","1","E3-153_1"
"E3-154","E3","154",2021-06-02,"Logan/Diego",21,NA,NA,NA,NA,"",NA,"","","1","E3-154_1"
"E3-155","E3","155",2021-06-02,"Logan/Diego",11,NA,NA,NA,NA,"",NA,"","","1","E3-155_1"
"E3-156","E3","156",2021-06-02,"Logan/Diego",24,NA,NA,NA,NA,"",NA,"","","1","E3-156_1"
"E3-157","E3","157",2021-06-02,"Logan/Diego",17.5,NA,NA,NA,NA,"",NA,"","","1","E3-157_1"
"E3-158","E3","158",2021-06-02,"Logan/Diego",14,NA,NA,NA,NA,"",NA,"","","1","E3-158_1"
"E3-159","E3","159",2021-06-02,"Logan/Diego",19.5,NA,NA,NA,NA,"",NA,"","","1","E3-159_1"
"E3-160","E3","160",2021-06-02,"Logan/Diego",15,NA,NA,NA,NA,"",NA,"","","1","E3-160_1"
"E3-161","E3","161",2021-06-02,"Logan/Diego",24,NA,NA,NA,NA,"",NA,"","","1","E3-161_1"
"E3-162","E3","162",2021-06-02,"Logan/Diego",12,NA,NA,NA,NA,"",NA,"","","1","E3-162_1"
"E3-163","E3","163",2021-06-02,"Logan/Diego",8.5,NA,NA,NA,NA,"",NA,"","","1","E3-163_1"
"E3-164","E3","164",2021-06-02,"Logan/Diego",17,NA,NA,NA,NA,"",NA,"","","1","E3-164_1"
"E3-165","E3","165",2021-06-02,"Logan/Diego",17,NA,NA,NA,NA,"",NA,"","","1","E3-165_1"
"E3-166","E3","166",2021-06-02,"Logan/Diego",21,NA,NA,NA,NA,"",NA,"","","1","E3-166_1"
"E3-167","E3","167",2021-06-02,"Logan/Diego",17.5,NA,NA,NA,NA,"",NA,"","","1","E3-167_1"
"E3-168","E3","168",2021-06-02,"Logan/Diego",22,NA,NA,NA,NA,"",NA,"","","1","E3-168_1"
"E3-169","E3","169",2021-06-02,"Logan/Diego",20,NA,NA,NA,NA,"",NA,"","","1","E3-169_1"
"E3-170","E3","170",2021-06-02,"Logan/Diego",10,NA,NA,NA,NA,"",NA,"","","1","E3-170_1"
"E3-171","E3","171",2021-06-02,"Logan/Diego",16,NA,NA,NA,NA,"",NA,"","","1","E3-171_1"
"E3-172","E3","172",2021-06-02,"Logan/Diego",18,NA,NA,NA,NA,"",NA,"","","1","E3-172_1"
"E3-173","E3","173",2021-06-02,"Logan/Diego",22,NA,NA,NA,NA,"",NA,"","","1","E3-173_1"
"E3-174","E3","174",2021-06-02,"Logan/Diego",20,NA,NA,NA,NA,"",NA,"","","1","E3-174_1"
"E3-175","E3","175",2021-06-02,"Logan/Diego",19.5,NA,NA,NA,NA,"",NA,"","","1","E3-175_1"
"E3-176","E3","176",2021-06-02,"Logan/Diego",21,NA,NA,NA,NA,"",NA,"","","1","E3-176_1"
"E3-177","E3","177",2021-06-02,"Logan/Diego",17.5,NA,NA,NA,NA,"",NA,"","","1","E3-177_1"
"E3-178","E3","178",2021-06-02,"Logan/Diego",27,NA,NA,NA,NA,"",NA,"","","1","E3-178_1"
"E3-179","E3","179",2021-06-02,"Logan/Diego",26,NA,NA,NA,NA,"",NA,"","","1","E3-179_1"
"E3-180","E3","180",2021-06-02,"Logan/Diego",36,NA,NA,NA,NA,"",NA,"","","1","E3-180_1"
"E3-181","E3","181",2021-06-02,"Logan/Diego",37,NA,NA,NA,NA,"",NA,"","","1","E3-181_1"
"E3-182","E3","182",2021-06-02,"Logan/Diego",22,NA,NA,NA,NA,"",NA,"","","1","E3-182_1"
"E3-183","E3","183",2021-06-02,"Logan/Diego",14,NA,NA,NA,NA,"",NA,"","","1","E3-183_1"
"E3-184","E3","184",2021-06-02,"Logan/Diego",24.5,NA,NA,NA,NA,"",NA,"","","1","E3-184_1"
"E3-185","E3","185",2021-06-02,"Logan/Diego",11,NA,NA,NA,NA,"",NA,"","","1","E3-185_1"
"E3-186","E3","186",2021-06-02,"Logan/Diego",16,NA,NA,NA,NA,"",NA,"","","1","E3-186_1"
"E3-187","E3","187",2021-06-02,"Logan/Diego",12,NA,NA,NA,NA,"",NA,"","","1","E3-187_1"
"E3-188","E3","188",2021-06-02,"Logan/Diego",19.5,NA,NA,NA,NA,"",NA,"","","1","E3-188_1"
"E3-189","E3","189",2021-06-02,"Logan/Diego",16,NA,NA,NA,NA,"",NA,"","","1","E3-189_1"
"E3-190","E3","190",2021-06-02,"Logan/Diego",23,NA,NA,NA,NA,"",NA,"","","1","E3-190_1"
"E3-191","E3","191",2021-06-02,"Logan/Diego",17,NA,NA,NA,NA,"",NA,"","","1","E3-191_1"
"E3-192","E3","192",2021-06-02,"Logan/Diego",18,NA,NA,NA,NA,"",NA,"","","1","E3-192_1"
"E3-193","E3","193",2021-06-02,"Logan/Diego",14,NA,NA,NA,NA,"",NA,"","","1","E3-193_1"
"E3-194","E3","194",2021-06-02,"Logan/Diego",18.5,NA,NA,NA,NA,"",NA,"","","1","E3-194_1"
"E3-195","E3","195",2021-06-02,"Logan/Diego",11.5,NA,NA,NA,NA,"",NA,"","","1","E3-195_1"
"E3-196","E3","196",2021-06-02,"Logan/Diego",14.5,NA,NA,NA,NA,"",NA,"","","1","E3-196_1"
"E3-197","E3","197",2021-06-02,"Logan/Diego",NA,NA,NA,NA,NA,"",NA,"","","1","E3-197_1"
"E3-198","E3","198",2021-06-02,"Logan/Diego",NA,NA,NA,NA,NA,"",NA,"","","1","E3-198_1"
"E3-199","E3","199",2021-06-02,"Logan/Diego",NA,NA,NA,NA,NA,"",NA,"","","1","E3-199_1"
"E3-200","E3","200",2021-06-02,"Logan/Diego",NA,NA,NA,NA,NA,"",NA,"","","1","E3-200_1"
"E4-1","E4","1",2021-06-02,"Logan/Diego",NA,NA,NA,NA,NA,"",NA,"","","1","E4-1_1"
"E4-2","E4","2",2021-06-02,"Logan/Diego",NA,NA,NA,NA,NA,"",NA,"","","1","E4-2_1"
"E4-3","E4","3",2021-06-02,"Logan/Diego",23,NA,NA,NA,NA,"",NA,"","","1","E4-3_1"
"E4-4","E4","4",2021-06-02,"Logan/Diego",33,NA,NA,NA,NA,"",NA,"","","1","E4-4_1"
"E4-5","E4","5",2021-06-02,"Logan/Diego",21,NA,NA,NA,NA,"",NA,"","","1","E4-5_1"
"E4-6","E4","6",2021-06-02,"Logan/Diego",20,NA,NA,NA,NA,"",NA,"","","1","E4-6_1"
"E4-7","E4","7",2021-06-02,"Logan/Diego",21,NA,NA,NA,NA,"",NA,"","","1","E4-7_1"
"E4-8","E4","8",2021-06-02,"Logan/Diego",17,NA,NA,NA,NA,"",NA,"","","1","E4-8_1"
"E4-9","E4","9",2021-06-02,"Logan/Diego",13,NA,NA,NA,NA,"",NA,"","","1","E4-9_1"
"E4-10","E4","10",2021-06-02,"Logan/Diego",19,NA,NA,NA,NA,"",NA,"","","1","E4-10_1"
"E4-11","E4","11",2021-06-02,"Logan/Diego",15,NA,NA,NA,NA,"",NA,"","","1","E4-11_1"
"E4-12","E4","12",2021-06-02,"Logan/Diego",7,NA,NA,NA,NA,"",NA,"","","1","E4-12_1"
"E4-13","E4","13",2021-06-02,"Logan/Diego",29,NA,NA,NA,NA,"",NA,"","","1","E4-13_1"
"E4-14","E4","14",2021-06-02,"Logan/Diego",31,NA,NA,NA,NA,"",NA,"","","1","E4-14_1"
"E4-15","E4","15",2021-06-02,"Logan/Diego",16,NA,NA,NA,NA,"",NA,"","","1","E4-15_1"
"E4-16","E4","16",2021-06-02,"Logan/Diego",34,NA,NA,NA,NA,"",NA,"","","1","E4-16_1"
"E4-17","E4","17",2021-06-02,"Logan/Diego",28,NA,NA,NA,NA,"",NA,"","","1","E4-17_1"
"E4-18","E4","18",2021-06-02,"Logan/Diego",21,NA,NA,NA,NA,"",NA,"","","1","E4-18_1"
"E4-19","E4","19",2021-06-02,"Logan/Diego",7,NA,NA,NA,NA,"",NA,"","","1","E4-19_1"
"E4-20","E4","20",2021-06-02,"Logan/Diego",15,NA,NA,NA,NA,"",NA,"","","1","E4-20_1"
"E4-21","E4","21",2021-06-02,"Logan/Diego",15,NA,NA,NA,NA,"",NA,"","","1","E4-21_1"
"E4-22","E4","22",2021-06-02,"Logan/Diego",12,NA,NA,NA,NA,"",NA,"","","1","E4-22_1"
"E4-23","E4","23",2021-06-02,"Logan/Diego",11,NA,NA,NA,NA,"",NA,"","","1","E4-23_1"
"E4-24","E4","24",2021-06-02,"Logan/Diego",8,NA,NA,NA,NA,"",NA,"","","1","E4-24_1"
"E4-25","E4","25",2021-06-02,"Logan/Diego",18,NA,NA,NA,NA,"",NA,"","","1","E4-25_1"
"E4-26","E4","26",2021-06-02,"Logan/Diego",16.5,NA,NA,NA,NA,"",NA,"","","1","E4-26_1"
"E4-27","E4","27",2021-06-02,"Logan/Diego",7,NA,NA,NA,NA,"",NA,"","","1","E4-27_1"
"E4-28","E4","28",2021-06-02,"Logan/Diego",20.5,NA,NA,NA,NA,"",NA,"","","1","E4-28_1"
"E4-29","E4","29",2021-06-02,"Logan/Diego",12,NA,NA,NA,NA,"",NA,"","","1","E4-29_1"
"E4-30","E4","30",2021-06-02,"Logan/Diego",18,NA,NA,NA,NA,"",NA,"","","1","E4-30_1"
"E4-31","E4","31",2021-06-02,"Logan/Diego",9,NA,NA,NA,NA,"",NA,"","","1","E4-31_1"
"E4-32","E4","32",2021-06-02,"Logan/Diego",8,NA,NA,NA,NA,"",NA,"","","1","E4-32_1"
"E4-33","E4","33",2021-06-02,"Logan/Diego",20,NA,NA,NA,NA,"",NA,"","","1","E4-33_1"
"E4-34","E4","34",2021-06-02,"Logan/Diego",14,NA,NA,NA,NA,"",NA,"","","1","E4-34_1"
"E4-35","E4","35",2021-06-02,"Logan/Diego",13,NA,NA,NA,NA,"",NA,"","","1","E4-35_1"
"E4-36","E4","36",2021-06-02,"Logan/Diego",12.5,NA,NA,NA,NA,"",NA,"","","1","E4-36_1"
"E4-37","E4","37",2021-06-02,"Logan/Diego",22,NA,NA,NA,NA,"",NA,"","","1","E4-37_1"
"E4-38","E4","38",2021-06-02,"Logan/Diego",14.5,NA,NA,NA,NA,"",NA,"","","1","E4-38_1"
"E4-39","E4","39",2021-06-02,"Logan/Diego",12,NA,NA,NA,NA,"",NA,"","","1","E4-39_1"
"E4-40","E4","40",2021-06-02,"Logan/Diego",14,NA,NA,NA,NA,"",NA,"","","1","E4-40_1"
