Block,Pos,Date,Weight,Measured_by,Entered_by,Missing,NOTES
E3,52,2024-01-22,36.39,Heidi Albers,Heidi Albers,,
E3,53,2024-01-22,38.68,Heidi Albers,Heidi Albers,,
E3,54,2024-01-22,41.12,Heidi Albers,Heidi Albers,,
E3,55,2024-01-22,36.34,Heidi Albers,Heidi Albers,,
E3,56,2024-01-22,37.99,Heidi Albers,Heidi Albers,,
E3,57,2024-01-22,33.84,Heidi Albers,Heidi Albers,,
E3,58,2024-01-22,48.02,Heidi Albers,Heidi Albers,,
E3,59,2024-01-22,34.61,Heidi Albers,Heidi Albers,,
E3,60,2024-01-22,45.84,Heidi Albers,Heidi Albers,,
E3,61,2024-01-22,46.86,Heidi Albers,Heidi Albers,,
E3,62,2024-01-22,32.94,Heidi Albers,Heidi Albers,,
E3,63,2024-01-22,39.55,Heidi Albers,Heidi Albers,,
E3,64,2024-01-22,34.81,Heidi Albers,Heidi Albers,,
E3,65,2024-01-22,50.58,Heidi Albers,Heidi Albers,,
E3,66,2024-01-22,36.83,Heidi Albers,Heidi Albers,,
E3,67,2024-01-22,33.20,Heidi Albers,Heidi Albers,1,No fruit
E3,68,2024-01-22,32.91,Heidi Albers,Heidi Albers,,"Originally said no fruit, but crossed out"
E3,69,2024-01-22,49.26,Heidi Albers,Heidi Albers,,
E3,70,2024-01-22,44.94,Heidi Albers,Heidi Albers,,
E3,71,2024-01-22,36.04,Heidi Albers,Heidi Albers,,
E3,72,2024-01-22,33.11,Heidi Albers,Heidi Albers,1,No fruit
E3,73,2024-01-22,42.61,Heidi Albers,Heidi Albers,,
E3,74,2024-01-22,44.29,Heidi Albers,Heidi Albers,,
E3,75,2024-01-22,36.05,Heidi Albers,Heidi Albers,,
E3,76,2024-01-22,45.39,Heidi Albers,Heidi Albers,,
E3,77,2024-01-22,33.56,Heidi Albers,Heidi Albers,,
E3,78,2024-01-22,51.30,Heidi Albers,Heidi Albers,,
E3,79,2024-01-22,36.60,Heidi Albers,Heidi Albers,,
E3,80,2024-01-22,49.55,Heidi Albers,Heidi Albers,,
E3,81,2024-01-22,36.43,Heidi Albers,Heidi Albers,,
E3,82,2024-01-22,34.53,Heidi Albers,Heidi Albers,,
E3,83,2024-01-22,33.09,Heidi Albers,Heidi Albers,,
E3,84,2024-01-22,34.07,Heidi Albers,Heidi Albers,,
E3,85,2024-01-22,33.25,Heidi Albers,Heidi Albers,1,Missing
E3,86,2024-01-22,38.38,Heidi Albers,Heidi Albers,,
E3,87,2024-01-22,33.54,Heidi Albers,Heidi Albers,,
E3,88,2024-01-22,38.02,Heidi Albers,Heidi Albers,,
E3,89,2024-01-22,34.24,Heidi Albers,Heidi Albers,,
E3,90,2024-01-22,36.20,Heidi Albers,Heidi Albers,,
E3,91,2024-01-22,33.10,Heidi Albers,Heidi Albers,1,Missing
E3,92,2024-01-22,36.10,Heidi Albers,Heidi Albers,,
E3,93,2024-01-22,43.38,Heidi Albers,Heidi Albers,,
E3,94,2024-01-22,32.93,Heidi Albers,Heidi Albers,1,No fruit
E3,95,2024-01-22,40.29,Heidi Albers,Heidi Albers,,
E3,96,2024-01-22,69.82,Heidi Albers,Heidi Albers,,
E3,97,2024-01-22,32.81,Heidi Albers,Heidi Albers,1,Missing
E3,98,2024-01-22,56.52,Heidi Albers,Heidi Albers,,
E3,99,2024-01-22,36.03,Heidi Albers,Heidi Albers,,
E3,100,2024-01-22,41.11,Heidi Albers,Heidi Albers,,
E3,101,2024-01-22,35.20,Heidi Albers,Heidi Albers,,
E3,102,2024-01-22,39.20,Heidi Albers,Heidi Albers,,
E3,103,2024-01-22,62.06,Heidi Albers,Heidi Albers,,
E3,104,2024-01-22,58.24,Heidi Albers,Heidi Albers,,
E3,105,2024-01-22,34.46,Heidi Albers,Heidi Albers,,
E3,106,2024-01-22,42.41,Heidi Albers,Heidi Albers,,
E3,107,2024-01-22,32.90,Heidi Albers,Heidi Albers,1,No fruit
E3,108,2024-01-22,32.92,Heidi Albers,Heidi Albers,1,No fruit
E3,109,2024-01-22,38.66,Heidi Albers,Heidi Albers,,
E3,110,2024-01-22,34.23,Heidi Albers,Heidi Albers,,
E3,111,2024-01-22,58.04,Heidi Albers,Heidi Albers,,
E3,112,2024-01-22,37.99,Heidi Albers,Heidi Albers,,
E3,113,2024-01-22,43.21,Heidi Albers,Heidi Albers,,
E3,114,2024-01-22,35.65,Heidi Albers,Heidi Albers ,,
E3,115,2024-01-22,40.59,Heidi Albers,Heidi Albers,,
E3,116,2024-01-22,47.41,Heidi Albers,Heidi Albers,,
E3,117,2024-01-22,41.16,Heidi Albers,Heidi Albers,,
E3,118,2024-01-22,38.97,Heidi Albers,Heidi Albers ,,
E3,119,2024-01-22,35.51,Heidi Albers,Heidi Albers,,
E3,120,2024-01-22,37.30,Heidi Albers,Heidi Albers,,
E3,121,2024-01-22,45.70,Heidi Albers,Heidi Albers,,
E3,122,2024-01-22,33.38,Heidi Albers,Heidi Albers,,
E3,123,2024-01-22,33.20,Heidi Albers,Heidi Albers ,,
E3,124,2024-01-22,37.25,Heidi Albers,Heidi Albers,,
E3,125,2024-01-22,38.52,Heidi Albers,Heidi Albers,,
E3,126,2024-01-22,49.51,Heidi Albers,Heidi Albers,,
E3,127,2024-01-22,38.46,Heidi Albers,Heidi Albers ,,
E3,128,2024-01-22,35.77,Heidi Albers,Heidi Albers,,
E3,129,2024-01-22,40.32,Heidi Albers,Heidi Albers,,
E3,130,2024-01-22,34.61,Heidi Albers,Heidi Albers,,
E3,131,2024-01-22,47.56,Heidi Albers,Heidi Albers,,
E3,132,2024-01-22,35.44,Heidi Albers,Heidi Albers ,,
E3,133,2024-01-22,41.62,Heidi Albers,Heidi Albers,,
E3,134,2024-01-22,38.19,Heidi Albers,Heidi Albers,,
E3,135,2024-01-22,43.15,Heidi Albers,Heidi Albers,,
E3,136,2024-01-22,46.61,Heidi Albers,Heidi Albers ,,
E3,137,2024-01-22,37.54,Heidi Albers,Heidi Albers,,
E3,138,2024-01-22,41.43,Heidi Albers,Heidi Albers,,
E3,139,2024-01-22,38.24,Heidi Albers,Heidi Albers,,
E3,140,2024-01-22,40.53,Heidi Albers,Heidi Albers,,
E3,141,2024-01-22,60.29,Heidi Albers,Heidi Albers,,
E3,142,2024-01-22,33.24,Heidi Albers,Heidi Albers,,
E3,143,2024-01-22,46.19,Heidi Albers,Heidi Albers ,,
E3,144,2024-01-22,36.35,Heidi Albers,Heidi Albers,,
E3,145,2024-01-22,48.07,Heidi Albers,Heidi Albers,,
E3,146,2024-01-22,39.07,Heidi Albers,Heidi Albers,,
E3,147,2024-01-22,38.76,Heidi Albers,Heidi Albers ,,
E3,148,2024-01-22,37.73,Heidi Albers,Heidi Albers,,
E3,149,2024-01-22,37.04,Heidi Albers,Heidi Albers,,
E3,150,2024-01-22,50.02,Heidi Albers,Heidi Albers,,
E3,151,2024-01-24,51.24,Heidi Albers,Heidi Albers,,
E3,152,2024-01-24,35.29,Heidi Albers,Heidi Albers,,
E3,153,2024-01-24,43.93,Heidi Albers,Heidi Albers,,
E3,154,2024-01-24,34.80,Heidi Albers,Heidi Albers,,
E3,155,2024-01-24,33.78,Heidi Albers,Heidi Albers,,
E3,156,2024-01-24,52.34,Heidi Albers,Heidi Albers,,
E3,157,2024-01-24,38.86,Heidi Albers,Heidi Albers,,
E3,158,2024-01-24,53.56,Heidi Albers,Heidi Albers,,
E3,159,2024-01-24,41.12,Heidi Albers,Heidi Albers,,
E3,160,2024-01-24,39.43,Heidi Albers,Heidi Albers,,
E3,161,2024-01-24,36.61,Heidi Albers,Heidi Albers,,
E3,162,2024-01-24,35.03,Heidi Albers,Heidi Albers,,
E3,163,2024-01-24,39.36,Heidi Albers,Heidi Albers,,
E3,164,2024-01-24,35.42,Heidi Albers,Heidi Albers,,
E3,165,2024-01-24,44.26,Heidi Albers,Heidi Albers,,
E3,166,2024-01-24,43.33,Heidi Albers,Heidi Albers,,
E3,167,2024-01-24,33.49,Heidi Albers,Heidi Albers,1,No flowers
E3,168,2024-01-24,41.32,Heidi Albers,Heidi Albers,,
E3,169,2024-01-24,37.84,Heidi Albers,Heidi Albers,,
E3,170,2024-01-24,33.88,Heidi Albers,Heidi Albers,,
E3,171,2024-01-24,41.34,Heidi Albers,Heidi Albers,,
E3,172,2024-01-24,49.48,Heidi Albers,Heidi Albers,,
E3,173,2024-01-24,42.88,Heidi Albers,Heidi Albers,,
E3,174,2024-01-24,33.32,Heidi Albers,Heidi Albers,1,No flowers
E3,175,2024-01-24,41.28,Heidi Albers,Heidi Albers,,
E3,176,2024-01-24,42.75,Heidi Albers,Heidi Albers,,
E3,177,2024-01-24,35.36,Heidi Albers,Heidi Albers,,
E3,178,2024-01-24,48.46,Heidi Albers,Heidi Albers,,
E3,179,2024-01-24,36.34,Heidi Albers,Heidi Albers,,
E3,180,2024-01-24,40.93,Heidi Albers,Heidi Albers,,
E3,181,2024-01-24,40.33,Heidi Albers,Heidi Albers,,
E3,182,2024-01-24,34.04,Heidi Albers,Heidi Albers,,
E3,183,2024-01-24,45.52,Heidi Albers,Heidi Albers,,
E3,184,2024-01-24,43.16,Heidi Albers,Heidi Albers,,
E3,185,2024-01-24,37.45,Heidi Albers,Heidi Albers,,
E3,186,2024-01-24,36.41,Heidi Albers,Heidi Albers,,
E3,187,2024-01-24,36.49,Heidi Albers,Heidi Albers,,
E3,188,2024-01-24,33.88,Heidi Albers,Heidi Albers,,
E3,189,2024-01-24,35.32,Heidi Albers,Heidi Albers,,
E3,190,2024-01-24,36.43,Heidi Albers,Heidi Albers,,
E3,191,2024-01-24,33.48,Heidi Albers,Heidi Albers,,
E3,192,2024-01-24,37.19,Heidi Albers,Heidi Albers,,
E3,193,2024-01-24,43.00,Heidi Albers,Heidi Albers,,
E3,194,2024-01-24,50.18,Heidi Albers,Heidi Albers,,
E3,195,2024-01-24,41.57,Heidi Albers,Heidi Albers,,
E3,196,2024-01-24,40.72,Heidi Albers,Heidi Albers,,
E3,197,2024-01-24,33.66,Heidi Albers,Heidi Albers,,
E3,198,2024-01-24,38.55,Heidi Albers,Heidi Albers,,
E3,199,2024-01-24,41.73,Heidi Albers,Heidi Albers,,
E3,200,2024-01-24,42.83,Heidi Albers,Heidi Albers,,
E4,1,,,,,,
E4,2,,,,,,
E4,3,,,,,,
E4,4,,,,,,
E4,5,,,,,,
E4,6,,,,,,
E4,7,,,,,,
E4,8,,,,,,
E4,9,,,,,,
E4,10,,,,,,
E4,11,,,,,,
E4,12,,,,,,
E4,13,,,,,,
E4,14,,,,,,
E4,15,,,,,,
E4,16,,,,,,
E4,17,,,,,,
E4,18,,,,,,
E4,19,,,,,,
E4,20,,,,,,
E4,21,,,,,,
E4,22,,,,,,
E4,23,,,,,,
E4,24,,,,,,
E4,25,,,,,,
E4,26,,,,,,
E4,27,,,,,,
E4,28,,,,,,
E4,29,,,,,,
E4,30,,,,,,
E4,31,,,,,,
E4,32,,,,,,
E4,33,2024-02-27,33.15,Heidi Albers,Heidi Albers,,
E4,34,,,,,,
E4,35,,,,,,
E4,36,,,,,,
E4,37,,,,,,
E4,38,,,,,,
E4,39,,,,,,
E4,40,2024-02-27,33.27,Heidi Albers,Heidi Albers,1,No fruit
E4,41,,,,,,
E4,42,,,,,,
E4,43,,,,,,
E4,44,,,,,,
E4,45,,,,,,
E4,46,2024-02-27,33.21,Heidi Albers,Heidi Albers,,
E4,47,,,,,,
E4,48,,,,,,
E4,49,,,,,,
E4,50,,,,,,
E4,51,,,,,,
E4,52,,,,,,
E4,53,,,,,,
E4,54,,,,,,
E4,55,,,,,,
E4,56,,,,,,
E4,57,,,,,,
E4,58,,,,,,
E4,59,,,,,,
E4,60,,,,,,
E4,61,,,,,,
E4,62,,,,,,
E4,63,,,,,,
E4,64,,,,,,
E4,65,,,,,,
E4,66,,,,,,
E4,67,,,,,,
E4,68,,,,,,
E4,69,,,,,,
E4,70,,,,,,
E4,71,,,,,,
E4,72,,,,,,
E4,73,,,,,,
E4,74,,,,,,
E4,75,,,,,,
E4,76,,,,,,
E4,77,,,,,,
E4,78,,,,,,
E4,79,,,,,,
E4,80,,,,,,
E4,81,,,,,,
E4,82,,,,,,
E4,83,,,,,,
E4,84,,,,,,
E4,85,,,,,,
E4,86,,,,,,
E4,87,,,,,,
E4,88,,,,,,
E4,89,,,,,,
E4,90,,,,,,
E4,91,,,,,,
E4,92,,,,,,
E4,93,,,,,,
E4,94,,,,,,
E4,95,,,,,,
E4,96,,,,,,
E4,97,,,,,,
E4,98,,,,,,
E4,99,,,,,,
E4,100,2024-02-27,33.74,Heidi Albers,Heidi Albers,,
E4,101,2024-02-27,34.05,Heidi Albers,Heidi Albers,,
E4,102,,,,,,
E4,103,,,,,,
E4,104,,,,,,
E4,105,,,,,,
E4,106,,,,,,
E4,107,,,,,,
E4,108,,,,,,
E4,109,,,,,,
E4,110,,,,,,
E4,111,,,,,,
E4,112,,,,,,
E4,113,,,,,,
E4,114,,,,,,
E4,115,,,,,,
E4,116,,,,,,
E4,117,,,,,,
E4,118,,,,,,
E4,119,,,,,,
E4,120,,,,,,
E4,121,,,,,,
E4,122,,,,,,
E4,123,,,,,,
E4,124,,,,,,
E4,125,,,,,,
E4,126,,,,,,
E4,127,,,,,,
E4,128,,,,,,
E4,129,,,,,,
E4,130,,,,,,
E4,131,,,,,,
E4,132,,,,,,
E4,133,,,,,,
E4,134,,,,,,
E4,135,2024-02-27,34.02,Heidi Albers,Heidi Albers,,4 flowers open when harvested (09/28/2023)
E4,136,,,,,,
E4,137,,,,,,
E4,138,,,,,,
E4,139,,,,,,
E4,140,,,,,,
E4,141,,,,,,
E4,142,,,,,,
E4,143,,,,,,
E4,144,,,,,,
E4,145,,,,,,
E4,146,,,,,,
E4,147,,,,,,
E4,148,2024-02-27,33.17,Heidi Albers,Heidi Albers,,
E4,149,,,,,,
E4,150,,,,,,
E4,151,,,,,,
E4,152,,,,,,
E4,153,,,,,,
E4,154,,,,,,
E4,155,,,,,,
E4,156,,,,,,
E4,157,,,,,,
E4,158,,,,,,
E4,159,,,,,,
E4,160,,,,,,
E4,161,,,,,,
E4,162,,,,,,
E4,163,,,,,,
E4,164,,,,,,
E4,165,,,,,,
E4,166,,,,,,
E4,167,,,,,,
E4,168,,,,,,
E4,169,,,,,,
E4,170,,,,,,
E4,171,,,,,,
E4,172,,,,,,
E4,173,,,,,,
E4,174,,,,,,
E4,175,,,,,,
E4,176,,,,,,
E4,177,,,,,,
E4,178,,,,,,
E4,179,,,,,,
E4,180,,,,,,
E4,181,,,,,,
E4,182,,,,,,
E4,183,,,,,,
E4,184,,,,,,
E4,185,,,,,,
E4,186,,,,,,
E4,187,,,,,,
E4,188,2024-02-27,34.20,Heidi Albers,Heidi Albers,,
E4,189,,,,,,
E4,190,,,,,,
E4,191,,,,,,
E4,192,,,,,,
E4,193,,,,,,
E4,194,,,,,,
E4,195,,,,,,
E4,196,,,,,,
E4,197,,,,,,
E4,198,,,,,,
E4,199,,,,,,
E4,200,,,,,,
E4,201,,,,,,
E5,1,2024-02-27,33.09,Heidi Albers,Heidi Albers,1,No fruit
E5,2,,,,,,
E5,3,,,,,,
E5,4,,,,,,
E5,5,,,,,,
E5,6,,,,,,
E5,7,,,,,,
E5,8,2024-02-27,33.26,Heidi Albers,Heidi Albers,1,No fruit
E5,9,,,,,,
E5,10,2024-02-27,33.19,Heidi Albers,Heidi Albers,1,No fruit
E5,11,2024-02-27,33.24,Heidi Albers,Heidi Albers,1,No fruit
E5,12,,,,,,
E5,13,2024-02-27,34.71,Heidi Albers,Heidi Albers,,
E5,14,,,,,,
E5,15,2024-02-27,33.2,Heidi Albers,Heidi Albers,,
E5,16,,,,,,
E5,17,2024-02-27,33.47,Heidi Albers,Heidi Albers,,
E5,18,,,,,,
E5,19,,,,,,
E5,20,,,,,,
E5,21,,,,,,
E5,22,,,,,,
E5,23,,,,,,
E5,24,,,,,,
E5,25,,,,,,
E5,26,,,,,,
E5,27,,,,,,
E5,28,2024-02-27,33.02,Heidi Albers,Heidi Albers,1,No fruit
E5,29,,,,,,
E5,30,,,,,,
E5,31,,,,,,
E5,32,,,,,,
E5,33,,,,,,
E5,34,,,,,,
E5,35,,,,,,
E5,36,,,,,,
E5,37,2024-02-27,33.12,Heidi Albers,Heidi Albers,,
E5,38,,,,,,
E5,39,,,,,,
E5,40,2024-02-27,33.89,Heidi Albers,Heidi Albers,,
E5,41,,,,,,
E5,42,,,,,,
E5,43,,,,,,
E5,44,,,,,,
E5,45,,,,,,
E5,46,2024-02-27,34.28,Heidi Albers,Heidi Albers,,
E5,47,,,,,,
E5,48,,,,,,
E5,49,,,,,,
E5,50,,,,,,
E5,51,2024-02-27,33.99,Heidi Albers,Heidi Albers,,
E5,52,,,,,,
E5,53,,,,,,
E5,54,,,,,,
E5,55,,,,,,
E5,56,,,,,,
E5,57,,,,,,
E5,58,,,,,,
E5,59,,,,,,
E5,60,,,,,,
E5,61,2024-02-27,33.12,Heidi Albers,Heidi Albers,1,No fruit
E5,62,,,,,,
E5,63,,,,,,
E5,64,,,,,,
E5,65,,,,,,
E5,66,,,,,,
E5,67,,,,,,
E5,68,,,,,,
E5,69,,,,,,
E5,70,,,,,,
E5,71,,,,,,
E5,72,,,,,,
E5,73,,,,,,
E5,74,,,,,,
E5,75,2024-02-27,34.83,Heidi Albers,Heidi Albers,,Save some seeds for Rob C (done)
E5,76,,,,,,
E5,77,,,,,,
E5,78,,,,,,
E5,79,,,,,,
E5,80,2024-02-27,33.47,Heidi Albers,Heidi Albers,,
E5,81,,,,,,
E5,82,,,,,,
E5,83,,,,,,
E5,84,,,,,,
E5,85,2024-02-27,33.33,Heidi Albers,Heidi Albers,,
E5,86,,,,,,
E5,87,,,,,,
E5,88,2024-02-27,33.80,Heidi Albers,Heidi Albers,,
E5,89,,,,,,
E5,90,,,,,,
E5,91,,,,,,
E5,92,,,,,,
E5,93,,,,,,
E5,94,,,,,,
E5,95,,,,,,
E5,96,,,,,,
E5,97,,,,,,
E5,98,2024-02-27,32.87,Heidi Albers,Heidi Albers,,
E5,99,,,,,,
E5,100,,,,,,
E5,101,2024-02-27,46.67,Heidi Albers,Heidi Albers,,"and 103, delete both data points"
E5,102,,,,,,
E5,103,,,,,,
E5,104,,,,,,
E5,105,,,,,,
E5,106,,,,,,
E5,107,,,,,,
E5,108,,,,,,
E5,109,,,,,,
E5,110,,,,,,
E5,111,2024-02-27,38.00,Heidi Albers,Heidi Albers,,
E5,112,,,,,,
E5,113,2024-02-27,35.16,Heidi Albers,Heidi Albers,,
E5,114,,,,,,
E5,115,,,,,,
E5,116,,,,,,
E5,117,,,,,,
E5,118,,,,,,
E5,119,,,,,,
E5,120,,,,,,
E5,121,,,,,,
E5,122,,,,,,
E5,123,,,,,,
E5,124,,,,,,
E5,125,,,,,,
E5,126,,,,,,
E5,127,,,,,,
E5,128,2024-02-27,33.43,Heidi Albers,Heidi Albers,,
E5,129,,,,,,
E5,130,,,,,,
E5,131,,,,,,
E5,132,,,,,,
E5,133,,,,,,
E5,134,,,,,,
E5,135,,,,,,
E5,136,,,,,,
E5,137,2024-02-27,33.32,Heidi Albers,Heidi Albers,1,DNF
E5,138,,,,,,
E5,139,,,,,,
E5,140,,,,,,
E5,141,,,,,,
E5,142,2024-02-27,34.20,Heidi Albers,Heidi Albers,,
E5,143,2024-02-27,33.34,Heidi Albers,Heidi Albers,,
E5,144,,,,,,
E5,145,2024-02-27,33.35,Heidi Albers,Heidi Albers,,
E5,146,,,,,,
E5,147,2024-02-27,34.70,Heidi Albers,Heidi Albers,,
E5,148,,,,,,
E5,149,,,,,,
E5,150,2024-02-27,33.02,Heidi Albers,Heidi Albers,,
E5,151,2024-02-27,38.85,Heidi Albers,Heidi Albers,,
E5,152,,,,,,
E5,153,2024-02-27,37.60,Heidi Albers,Heidi Albers,,
E5,154,,,,,,
E5,155,,,,,,
E5,156,2024-02-27,33.02,Heidi Albers,Heidi Albers,,
E5,157,,,,,,
E5,158,,,,,,
E5,159,,,,,,
E5,160,,,,,,
E5,161,2024-02-27,33.77,Heidi Albers,Heidi Albers,,
E5,162,,,,,,
E5,163,2024-02-27,35.17,Heidi Albers,Heidi Albers,,
E5,164,,,,,,
E5,165,,,,,,
E5,166,,,,,,
E5,167,,,,,,
E5,168,2024-02-27,34.35,Heidi Albers,Heidi Albers,,
E5,169,,,,,,
E5,170,,,,,,
E5,171,2024-02-27,35.17,Heidi Albers,Heidi Albers,,
E5,172,,,,,,
E5,173,2024-02-27,33.34,Heidi Albers,Heidi Albers,,
E5,174,,,,,,
E5,175,,,,,,
E5,176,,,,,,
E5,177,,,,,,
E5,178,,,,,,
E5,179,2024-02-27,32.70,Heidi Albers,Heidi Albers,,
E5,180,2024-02-27,33.05,Heidi Albers,Heidi Albers,1,No fruit
E5,181,,,,,,
E5,182,,,,,,
E5,183,2024-02-27,43.07,Heidi Albers,Heidi Albers,,
E5,184,,,,,,
E5,185,,,,,,
E5,186,2024-02-27,34.21,Heidi Albers,Heidi Albers,,
E5,187,2024-02-27,33.01,Heidi Albers,Heidi Albers,1,No fruit
E5,188,,,,,,
E5,189,2024-02-27,33.98,Heidi Albers,Heidi Albers,,
E5,190,,,,,,
E5,191,2024-02-27,33.42,Heidi Albers,Heidi Albers,1,No fruit
E5,192,2024-02-27,33.24,Heidi Albers,Heidi Albers,1,No fruit
E5,193,,,,,,
E5,194,,,,,,
E5,195,,,,,,
E5,196,2024-02-27,33.08,Heidi Albers,Heidi Albers,,
E5,197,2024-02-27,33.22,Heidi Albers,Heidi Albers,1,No fruit
E5,198,2024-02-27,38.59,Heidi Albers,Heidi Albers,,
E5,199,,,,,,
E5,200,,,,,,
E6,1,2024-01-25,51.85,Heidi Albers,Heidi Albers,,
E6,2,2024-01-25,35.72,Heidi Albers,Heidi Albers,,
E6,3,2024-01-25,36.69,Heidi Albers,Heidi Albers,,
E6,4,2024-01-25,33.42,Heidi Albers,Heidi Albers,,
E6,5,2024-01-25,40.28,Heidi Albers,Heidi Albers,,
E6,6,2024-01-25,45.05,Heidi Albers,Heidi Albers,,
E6,7,2024-01-25,38.73,Heidi Albers,Heidi Albers,,
E6,8,2024-01-25,36.15,Heidi Albers,Heidi Albers,,
E6,9,2024-01-25,34.99,Heidi Albers,Heidi Albers,,
E6,10,2024-01-25,34.86,Heidi Albers,Heidi Albers,,
E6,11,2024-01-25,54.33,Heidi Albers,Heidi Albers,,
E6,12,2024-01-25,33.16,Heidi Albers,Heidi Albers,,
E6,13,2024-01-25,41.61,Heidi Albers,Heidi Albers,,
E6,14,2024-01-25,36.64,Heidi Albers,Heidi Albers,,
E6,15,2024-01-25,36.81,Heidi Albers,Heidi Albers,,
E6,16,2024-01-25,59.58,Heidi Albers,Heidi Albers,,
E6,17,2024-01-25,43.17,Heidi Albers,Heidi Albers,,
E6,18,2024-01-25,51.20,Heidi Albers,Heidi Albers,,
E6,19,2024-01-25,47.47,Heidi Albers,Heidi Albers,,
E6,20,2024-01-25,33.12,Heidi Albers,Heidi Albers,1,No fruit. May have been harvested with 18. Maybe NA both because root stalks close together
E6,21,2024-01-25,42.30,Heidi Albers,Heidi Albers,,
E6,22,2024-01-25,38.34,Heidi Albers,Heidi Albers,,
E6,23,2024-01-25,41.01,Heidi Albers,Heidi Albers,,
E6,24,2024-01-25,36.36,Heidi Albers,Heidi Albers,,
E6,25,2024-01-25,43.94,Heidi Albers,Heidi Albers,,
E6,26,2024-01-25,34.13,Heidi Albers,Heidi Albers,,
E6,27,2024-01-25,42.79,Heidi Albers,Heidi Albers,,
E6,28,2024-01-25,44.78,Heidi Albers,Heidi Albers,,
E6,29,2024-01-25,37.26,Heidi Albers,Heidi Albers,,
E6,30,2024-01-25,42.26,Heidi Albers,Heidi Albers,,
E6,31,2024-01-25,42.95,Heidi Albers,Heidi Albers,,
E6,32,2024-01-25,42.93,Heidi Albers,Heidi Albers,,
E6,33,2024-01-25,41.33,Heidi Albers,Heidi Albers,,
E6,34,2024-01-25,38.76,Heidi Albers,Heidi Albers,,
E6,35,2024-01-25,44.70,Heidi Albers,Heidi Albers,,
