Block,Pos,Date,Measurer,Egg,Larv,Adt,Wvl,OH,U,D
E1,42,18-Jun,Darcey,,,,1,,2,0
E1,43,18-Jun,Darcey,,,,2,,6,0
E1,44,18-Jun,Darcey,,,,NA,,NA,NA
E1,45,18-Jun,Darcey,,,,2,,4,0
E1,46,18-Jun,Darcey,,,,1,,4,0
E1,47,18-Jun,Darcey,,,,0,,5,0
E1,48,18-Jun,Darcey,,,,1,,3,0
E1,49,18-Jun,Darcey,,,,1,,1,0
E1,50,18-Jun,Darcey,,,,2,,3,0
E1,51,18-Jun,Darcey,,,,1,,4,1
E1,52,18-Jun,Darcey,,,,1,,4,0
E1,53,18-Jun,Darcey,,,,0,,4,0
E1,54,18-Jun,Darcey,,,,NA,,NA,NA
E1,55,18-Jun,Darcey,,,,2,,4,0
E1,56,18-Jun,Darcey,,,,1,,6,0
E1,57,18-Jun,Darcey,,,,1,,2,0
E1,58,18-Jun,Darcey,,,,1,,5,1
E1,59,18-Jun,Darcey,,,,3,,3,0
E1,60,18-Jun,Darcey,,,,2,,1,0
E1,61,18-Jun,Darcey,,,,2,,10,1
E1,62,18-Jun,Darcey,,,,1,,5,0
E1,63,18-Jun,Darcey,,,,NA,,NA,NA
E1,64,18-Jun,Darcey,,,,1,,5,0
E1,65,18-Jun,Darcey,,,,2,,2,0
E1,66,18-Jun,Darcey,,,,1,,3,0
E1,67,18-Jun,Darcey,,,,0,,4,0
E1,68,18-Jun,Darcey,,,,2,,2,0
E1,69,18-Jun,Darcey,,,,1,,6,0
E1,70,18-Jun,Darcey,,,,0,,3,0
E1,71,18-Jun,Darcey,,,,2,,3,2
E1,72,18-Jun,Darcey,,,,1,,2,0
E1,73,18-Jun,Darcey,,,,0,,3,0
E1,74,18-Jun,Darcey,,,,1,,2,0
E1,75,18-Jun,Darcey,,,,0,,5,0
E1,76,18-Jun,Darcey,,,,1,,1,0
E1,77,18-Jun,Darcey,,,,0,,4,0
E1,78,18-Jun,Darcey,,,,0,,5,1
E1,79,18-Jun,Darcey,,,,1,,1,0
E1,80,18-Jun,Darcey,,,,1,,3,1
E1,81,18-Jun,Darcey,,,,2,,2,0
E1,82,18-Jun,Darcey,,,,1,,3,0
E1,83,18-Jun,Darcey,,,,2,,6,0
E1,84,18-Jun,Darcey,,,,1,,2,0
E1,85,18-Jun,Darcey,,,,0,,5,0
E1,86,18-Jun,Darcey,,,,1,,4,1
E1,87,18-Jun,Darcey,,,,1,,1,0
E1,88,18-Jun,Darcey,,,,0,,5,0
E1,89,18-Jun,Darcey,,,,0,,7,0
E1,90,18-Jun,Darcey,,,,1,,5,0
E1,91,18-Jun,Darcey,,,,0,,5,0
E1,92,18-Jun,Darcey,,,,1,,3,0
E1,93,18-Jun,Darcey,,,,2,,3,0
E1,94,18-Jun,Darcey,,,,1,,6,0
E1,95,18-Jun,Darcey,,,,1,,2,0
E1,96,18-Jun,Darcey,,,,0,,1,0
E1,97,18-Jun,Darcey,,,,1,,3,0
E1,98,18-Jun,Darcey,,,,1,,1,0
E1,99,18-Jun,Darcey,,,,0,,3,0
E1,100,18-Jun,Darcey,,,,0,,6,0
E1,101,18-Jun,Darcey,,,,1,,4,2
E1,102,18-Jun,Darcey,,,,2,,4,0
E1,103,18-Jun,Darcey,,,,0,,7,0
E1,104,18-Jun,Darcey,,,,1,,4,0
E1,105,18-Jun,Darcey,,,,1,,3,0
E1,106,18-Jun,Darcey,,,,1,,3,0
E1,107,18-Jun,Darcey,,,,0,,7,0
E1,108,18-Jun,Darcey,,,,1,,2,0
E1,109,18-Jun,Darcey,,,,1,,3,0
E1,110,18-Jun,Darcey,,,,1,,1,0
E1,111,18-Jun,Darcey,,,,0,,5,0
E1,112,18-Jun,Darcey,,,,1,,7,0
E1,113,18-Jun,Darcey,,,,2,,4,0
E1,114,18-Jun,Darcey,,,,NA,,NA,NA
E1,115,18-Jun,Darcey,,,,1,,3,1
E1,116,18-Jun,Darcey,,,,0,,3,0
E1,117,18-Jun,Darcey,,,,1,,2,0
E1,118,18-Jun,Darcey,,,,0,,5,0
E1,119,18-Jun,Darcey,,,,2,,6,0
E1,120,18-Jun,Darcey,,,,0,,3,0
E1,121,18-Jun,Darcey,,,,1,,2,0
E1,122,18-Jun,Darcey,,,,2,,2,0
E1,123,18-Jun,Darcey,,,,0,,11,0
E1,124,18-Jun,Darcey,,,,2,,4,1
E1,125,18-Jun,Darcey,,,,1,,7,0
E1,126,18-Jun,Darcey,,,,1,,10,0
E1,127,18-Jun,Darcey,,,,1,,4,0
E1,128,18-Jun,Darcey,,,,0,,7,1
E1,129,18-Jun,Darcey,,,,1,,1,0
E1,130,18-Jun,Darcey,,,,0,,6,0
E1,131,18-Jun,Darcey,,,,1,,4,0
E1,132,18-Jun,Darcey,,,,2,,1,0
E1,133,18-Jun,Darcey,,,,3,,1,1
E1,134,18-Jun,Darcey,,,,0,,9,0
E1,135,18-Jun,Darcey,,,,1,,3,0
E1,136,18-Jun,Darcey,,,,0,,4,0
E1,137,18-Jun,Darcey,,,,1,,1,0
E1,138,18-Jun,Darcey,,,,2,,6,1
E1,139,18-Jun,Darcey,,,,1,,4,0
E1,140,18-Jun,Darcey,,,,1,,8,0
E1,141,18-Jun,Darcey,,,,2,,0,3
E1,142,18-Jun,Darcey,,,,1,,2,0
E1,143,18-Jun,Darcey,,,,0,,3,0
E1,144,18-Jun,Darcey,,,,0,,2,0
E1,145,18-Jun,Darcey,,,,2,,1,1
E1,146,18-Jun,Darcey,,,,1,,3,0
E1,147,18-Jun,Darcey,,,,1,,2,0
E1,148,18-Jun,Darcey,,,,2,,4,2
E1,149,18-Jun,Darcey,,,,0,,1,0
E1,150,18-Jun,Darcey,,,,1,,5,0
E1,151,18-Jun,Darcey,,,,2,,0,1
E1,152,18-Jun,Darcey,,,,0,,3,0
E1,153,18-Jun,Darcey,,,,0,,14,0
E1,154,18-Jun,Darcey,,,,1,,3,1
E1,155,18-Jun,Darcey,,,,2,,4,0
E1,156,18-Jun,Darcey,,,,2,,0,1
E1,157,18-Jun,Darcey,,,,0,,7,0
E1,158,18-Jun,Darcey,,,,0,,2,0
E1,159,18-Jun,Darcey,,,,1,,5,0
E1,160,18-Jun,Darcey,,,,2,,4,0
E1,161,18-Jun,Darcey,,,,2,,5,0
E1,162,18-Jun,Darcey,,,,1,,3,0
E1,163,18-Jun,Darcey,,,,0,,3,0
E1,164,18-Jun,Darcey,,,,1,,2,0
E1,165,18-Jun,Darcey,,,,1,,2,0
E1,166,18-Jun,Darcey,,,,1,,6,0
E1,167,18-Jun,Darcey,,,,0,,3,0
E1,168,18-Jun,Darcey,,,,1,,4,0
E1,169,18-Jun,Darcey,,,,1,,4,2
E1,170,18-Jun,Darcey,,,,0,,2,0
E1,171,18-Jun,Darcey,,,,1,,1,0
E1,172,18-Jun,Darcey,,,,1,,8,0
E1,173,18-Jun,Darcey,,,,1,,9,1
E1,174,18-Jun,Darcey,,,,0,,8,0
E1,175,18-Jun,Darcey,,,,0,,6,0
E1,176,18-Jun,Darcey,,,,1,,3,0
E1,177,18-Jun,Darcey,,,,1,,5,0
E1,178,18-Jun,Darcey,,,,0,,5,0
E1,179,18-Jun,Darcey,,,,1,,4,0
E1,180,18-Jun,Darcey,,,,2,,3,0
E1,181,18-Jun,Darcey,,,,1,,3,0
E1,182,18-Jun,Darcey,,,,0,,3,0
E1,183,18-Jun,Darcey,,,,1,,5,0
E1,184,18-Jun,Darcey,,,,2,,5,1
E1,185,18-Jun,Darcey,,,,2,,2,1
E1,186,18-Jun,Darcey,,,,1,,3,0
E1,187,18-Jun,Darcey,,,,1,,4,0
E1,188,18-Jun,Darcey,,,,2,,6,0
E1,189,18-Jun,Darcey,,,,1,,1,0
E1,190,18-Jun,Darcey,,,,1,,6,0
E1,191,18-Jun,Darcey,,,,2,,2,2
E1,192,18-Jun,Darcey,,,,1,,3,0
E1,193,18-Jun,Darcey,,,,0,,2,0
E1,194,18-Jun,Darcey,,,,1,,6,0
E1,195,18-Jun,Darcey,,,,1,,3,0
E1,196,18-Jun,Darcey,,,,1,,8,0
E1,197,18-Jun,Darcey,,,,1,,1,0
E1,198,18-Jun,Darcey,,,,1,,5,1
E1,199,18-Jun,Darcey,,,,2,,6,1
E1,200,18-Jun,Darcey,,,,0,,6,0
E2,1,18-Jun,Darcey,,YES,,4,,0,4
E2,2,18-Jun,Darcey,,YES,,5,,0,3
E2,3,18-Jun,Darcey,,YES,,4,,0,4
E2,4,18-Jun,Darcey,,YES,,5,,0,4
E2,5,18-Jun,Darcey,,YES,,5,,0,5
E2,6,18-Jun,Darcey,,YES,,5,,0,6
E2,7,18-Jun,Darcey,,YES,,5,,0,3
E2,8,18-Jun,Darcey,,YES,,4,,1,10
E2,9,18-Jun,Darcey,,YES,,5,,0,5
E2,10,18-Jun,Darcey,,YES,,5,,0,6
E2,11,18-Jun,Darcey,,YES,,5,,0,7
E2,12,18-Jun,Darcey,,YES,,4,,0,2
E2,13,18-Jun,Darcey,,YES,,3,,0,3
E2,14,18-Jun,Darcey,,NA,,NA,,NA,NA
E2,15,18-Jun,Darcey,,YES,,4,,0,2
E2,16,18-Jun,Darcey,,YES,,4,,0,5
E2,17,18-Jun,Darcey,,YES,,5,,0,4
E2,18,18-Jun,Darcey,,YES,,5,,0,5
E2,19,18-Jun,Darcey,,YES,,4,,0,4
E2,20,18-Jun,Darcey,YES,YES,,5,,0,2
E2,21,18-Jun,Darcey,,YES,,4,,0,6
E2,22,18-Jun,Darcey,,YES,,5,,0,4
E2,23,18-Jun,Darcey,,YES,,5,,0,8
E2,24,18-Jun,Darcey,,YES,,5,,0,3
E2,25,18-Jun,Darcey,,YES,,5,,0,2
E2,26,18-Jun,Darcey,,YES,,4,,0,4
E2,27,18-Jun,Darcey,,YES,,4,,0,3
E2,28,18-Jun,Darcey,,YES,,5,,0,3
E2,29,18-Jun,Darcey,,YES,,5,,0,7
E2,30,18-Jun,Darcey,,YES,,5,,0,2
E2,31,18-Jun,Darcey,,YES,,5,,0,4
E2,32,18-Jun,Darcey,,YES,,5,,0,4
E2,33,18-Jun,Darcey,,YES,,5,,0,6
E2,34,18-Jun,Darcey,,YES,,5,,0,6
E2,35,18-Jun,Darcey,YES,YES,,4,,1,5
E2,36,18-Jun,Darcey,,YES,,5,,0,3
E2,37,18-Jun,Darcey,YES,YES,,5,,0,2
E2,38,18-Jun,Darcey,YES,YES,,3,,2,7
E2,39,18-Jun,Darcey,,YES,,5,,0,8
E2,40,18-Jun,Darcey,,YES,,3,,1,3
E2,41,18-Jun,Darcey,,YES,,3,,1,4
E2,42,18-Jun,Darcey,,NA,,NA,,NA,NA
E2,43,18-Jun,Darcey,YES,YES,,5,,0,3
E2,44,18-Jun,Darcey,,YES,,5,,0,4
E2,45,18-Jun,Darcey,,YES,,5,,0,5
E2,46,18-Jun,Darcey,,YES,,5,,0,5
E2,47,18-Jun,Darcey,,YES,,5,,0,9
E2,48,18-Jun,Darcey,,YES,,5,,0,5
E2,49,18-Jun,Darcey,,YES,,5,,0,5
E2,50,18-Jun,Darcey,YES,YES,,5,,0,6
E2,51,18-Jun,Darcey,,YES,,5,,0,11
E2,52,18-Jun,Darcey,,YES,,5,,0,2
E2,53,18-Jun,Darcey,,YES,,4,,0,4
E2,54,18-Jun,Darcey,YES,YES,,5,,0,4
E2,55,18-Jun,Darcey,YES,YES,,5,,0,10
E2,56,18-Jun,Darcey,,YES,,5,,0,4
E2,57,18-Jun,Darcey,YES,YES,,5,,0,6
E2,58,18-Jun,Darcey,YES,YES,,5,,0,4
E2,59,18-Jun,Darcey,YES,YES,,4,,0,6
E2,60,18-Jun,Darcey,YES,YES,,5,,0,5
E2,61,18-Jun,Darcey,YES,YES,,5,,0,4
E2,62,18-Jun,Darcey,YES,YES,,4,,0,6
E2,63,18-Jun,Darcey,YES,YES,,5,,0,4
E2,64,18-Jun,Darcey,YES,YES,,5,,0,5
E2,65,18-Jun,Darcey,YES,YES,,5,,0,6
E2,66,18-Jun,Darcey,,NA,,NA,,NA,NA
E2,67,18-Jun,Darcey,YES,YES,,5,,0,2
E2,68,18-Jun,Darcey,YES,YES,,5,,0,6
E2,69,18-Jun,Darcey,YES,YES,,5,,0,4
E2,70,18-Jun,Darcey,,YES,,5,,0,3
E2,71,18-Jun,Darcey,YES,YES,,4,,0,4
E2,72,18-Jun,Darcey,YES,YES,,4,,0,6
E2,73,18-Jun,Darcey,YES,YES,,5,,0,7
E2,74,18-Jun,Darcey,YES,YES,,5,,0,2
E2,75,18-Jun,Darcey,YES,YES,,5,,0,4
E2,76,18-Jun,Darcey,YES,YES,,3,,1,4
E2,77,18-Jun,Darcey,,YES,,5,,0,3
E2,78,18-Jun,Darcey,YES,YES,,5,,0,8
E2,79,18-Jun,Darcey,YES,YES,,5,,0,6
E2,80,18-Jun,Darcey,,YES,,5,,0,2
E2,81,18-Jun,Darcey,YES,YES,,4,,0,10
E2,82,18-Jun,Darcey,YES,YES,,5,,0,5
E2,83,18-Jun,Darcey,YES,YES,,5,,0,14
E2,84,18-Jun,Darcey,YES,YES,,4,,0,1
E2,85,18-Jun,Darcey,,YES,,5,,0,6
E2,86,18-Jun,Darcey,YES,YES,,4,,0,6
E2,87,18-Jun,Darcey,YES,YES,,5,,0,15
E2,88,18-Jun,Darcey,,YES,,5,,0,3
E2,89,18-Jun,Darcey,YES,YES,,5,,0,2
E2,90,18-Jun,Darcey,YES,YES,,5,,0,3
E2,91,18-Jun,Darcey,YES,YES,,5,,0,4
E2,92,18-Jun,Darcey,YES,YES,,5,,0,11
E2,93,18-Jun,Darcey,YES,YES,,5,,0,4
E2,94,18-Jun,Darcey,YES,YES,,5,,0,2
E2,95,18-Jun,Darcey,,YES,,5,,0,5
E2,96,18-Jun,Darcey,,NA,,NA,,NA,NA
E2,97,18-Jun,Darcey,YES,YES,,4,,0,3
E2,98,18-Jun,Darcey,YES,YES,,4,,0,10
E2,99,18-Jun,Darcey,YES,YES,,5,,0,10
E2,100,18-Jun,Darcey,YES,YES,,4,,0,5
E2,101,18-Jun,Darcey,NA,NA,NA,NA,NA,NA,NA
E2,102,18-Jun,Darcey,NA,NA,NA,NA,NA,NA,NA
E2,103,18-Jun,Darcey,YES,YES,,5,,0,13
E2,104,18-Jun,Darcey,NA,NA,NA,NA,NA,NA,NA
E2,105,18-Jun,Darcey,NA,NA,NA,NA,NA,NA,NA
E2,106,18-Jun,Darcey,NA,NA,NA,NA,NA,NA,NA
E2,107,18-Jun,Darcey,NA,NA,NA,NA,NA,NA,NA
E2,108,18-Jun,Darcey,YES,YES,,5,,0,6
E2,109,18-Jun,Darcey,YES,YES,,5,,0,4
E2,110,18-Jun,Darcey,NA,NA,NA,NA,NA,NA,NA
E2,111,18-Jun,Darcey,YES,YES,,5,,0,7
E2,112,18-Jun,Darcey,YES,YES,,5,,0,2
E2,113,18-Jun,Darcey,YES,YES,,5,,0,5
E2,114,18-Jun,Darcey,YES,YES,,5,,0,5
E2,115,18-Jun,Darcey,YES,YES,,4,,0,7
E2,116,18-Jun,Darcey,YES,YES,,5,,0,8
E2,117,18-Jun,Darcey,YES,YES,,5,,0,4
E2,118,18-Jun,Darcey,YES,YES,,5,,0,3
E2,119,18-Jun,Darcey,YES,YES,,5,,0,3
E2,120,18-Jun,Darcey,YES,YES,,5,,0,5
E2,121,18-Jun,Darcey,YES,YES,,5,,0,3
E2,122,18-Jun,Darcey,YES,YES,,5,,0,6
E2,123,18-Jun,Darcey,YES,YES,,5,,0,7
E2,124,18-Jun,Darcey,YES,YES,,5,,0,5
E2,125,18-Jun,Darcey,YES,YES,,5,,0,5
E2,126,18-Jun,Darcey,,YES,,5,,0,3
E2,127,18-Jun,Darcey,YES,YES,,5,,0,2
E2,128,18-Jun,Darcey,,YES,,5,,0,7
E2,129,18-Jun,Darcey,,YES,,4,,0,2
E2,130,18-Jun,Darcey,YES,YES,,5,,0,5
E2,131,18-Jun,Darcey,,YES,,5,,0,4
E2,132,18-Jun,Darcey,,YES,,5,,0,4
E2,133,18-Jun,Darcey,YES,YES,,5,,0,2
E2,134,18-Jun,Darcey,YES,YES,,5,,0,5
E2,135,18-Jun,Darcey,YES,YES,,5,,0,7
E2,136,18-Jun,Darcey,YES,YES,,5,,0,4
E2,137,18-Jun,Darcey,,YES,,5,,0,10
E2,138,18-Jun,Darcey,YES,YES,,5,,0,2
E2,139,18-Jun,Darcey,,YES,,5,,0,2
E2,140,18-Jun,Darcey,,YES,,5,,0,5
E2,141,18-Jun,Darcey,YES,YES,,5,,0,3
E2,142,18-Jun,Darcey,YES,YES,,5,,0,5
E2,143,18-Jun,Darcey,YES,YES,,5,,0,5
E2,144,18-Jun,Darcey,YES,YES,,5,,0,6
E2,145,18-Jun,Darcey,YES,YES,,5,,0,4
E2,146,18-Jun,Darcey,YES,YES,,5,,0,6
E2,147,18-Jun,Darcey,,YES,,5,,0,5
E2,148,18-Jun,Darcey,YES,YES,,5,,0,12
E2,149,18-Jun,Darcey,,YES,,5,,0,4
E2,150,18-Jun,Darcey,,YES,,5,,0,4
E2,151,18-Jun,Darcey,YES,YES,,5,,0,3
E2,152,18-Jun,Darcey,YES,YES,,5,,0,7
E2,153,18-Jun,Darcey,,YES,,5,,0,4
E2,154,18-Jun,Darcey,,YES,,5,,0,6
E2,155,18-Jun,Darcey,YES,YES,,5,,0,4
E2,156,18-Jun,Darcey,YES,YES,,5,,0,3
E2,157,18-Jun,Darcey,,YES,,5,,0,3
E2,158,18-Jun,Darcey,,YES,,5,,0,4
E2,159,18-Jun,Darcey,,YES,,5,,0,5
E2,160,18-Jun,Darcey,,YES,,5,,0,3
E2,161,18-Jun,Darcey,,YES,,5,,0,6
E2,162,18-Jun,Darcey,,YES,,5,,0,8
E2,163,18-Jun,Darcey,,YES,,5,,0,3
E2,164,18-Jun,Darcey,YES,YES,,5,,0,6
E2,165,18-Jun,Darcey,YES,YES,,5,,0,8
E2,166,18-Jun,Darcey,,YES,,5,,0,5
E2,167,18-Jun,Darcey,YES,YES,,5,,0,3
E2,168,18-Jun,Darcey,,YES,,5,,0,5
E2,169,18-Jun,Darcey,,YES,,5,,0,5
E2,170,18-Jun,Darcey,YES,YES,,5,,0,7
E2,171,18-Jun,Darcey,,YES,,5,,0,3
E2,172,18-Jun,Darcey,YES,YES,,5,,0,5
E2,173,18-Jun,Darcey,YES,,,5,,0,4
E2,174,18-Jun,Darcey,,YES,,5,,0,6
E2,175,18-Jun,Darcey,,YES,,5,,0,7
E2,176,18-Jun,Darcey,YES,YES,,5,,0,5
E2,177,18-Jun,Darcey,,YES,,5,,0,6
E2,178,18-Jun,Darcey,YES,YES,,5,,0,7
E2,179,18-Jun,Darcey,YES,YES,,5,,0,6
E2,180,18-Jun,Darcey,,YES,,5,,0,6
E2,181,18-Jun,Darcey,YES,YES,,5,,0,8
E2,182,18-Jun,Darcey,,YES,,5,,0,11
E2,183,18-Jun,Darcey,,YES,,5,,0,2
E2,184,18-Jun,Darcey,,YES,,5,,0,5
E2,185,18-Jun,Darcey,YES,YES,,5,,0,4
E2,186,18-Jun,Darcey,YES,YES,,5,,0,5
E2,187,18-Jun,Darcey,,YES,,5,,0,1
E2,188,18-Jun,Darcey,,YES,,5,,0,6
E2,189,18-Jun,Darcey,YES,YES,,5,,0,3
E2,190,18-Jun,Darcey,,YES,,5,,0,5
E2,191,18-Jun,Darcey,,YES,,5,,0,3
E2,192,18-Jun,Darcey,,YES,,5,,0,3
E2,193,18-Jun,Darcey,YES,YES,,5,,0,6
E2,194,18-Jun,Darcey,YES,YES,,5,,0,5
E2,195,18-Jun,Darcey,YES,YES,,5,,0,8
E2,196,18-Jun,Darcey,YES,YES,,5,,0,3
E2,197,18-Jun,Darcey,YES,YES,,5,,0,6
E2,198,18-Jun,Darcey,YES,YES,,4,,0,5
E2,199,18-Jun,Darcey,YES,YES,,5,,0,6
E2,200,18-Jun,Darcey,YES,YES,,5,,0,7
E2,201,18-Jun,Darcey,YES,YES,,4,,0,11
E2,202,18-Jun,Darcey,YES,YES,,4,,0,7
E2,203,18-Jun,Darcey,,YES,,4,,0,8
E2,204,18-Jun,Darcey,,YES,,4,,0,5
E2,205,18-Jun,Darcey,,YES,,4,,0,5
E3,1,20-Jun,Samara,,,,1,,5,1
E3,2,20-Jun,Samara,,,,2,,3,0
E3,3,20-Jun,Samara,,,,0,,2,0
E3,4,20-Jun,Samara,,,,0,,2,0
E3,5,20-Jun,Samara,,,,1,,4,0
E3,6,20-Jun,Samara,,,,NA,,NA,NA
E3,7,20-Jun,Samara,,,,1,,3,0
E3,8,20-Jun,Samara,,,,0,,13,0
E3,9,20-Jun,Samara,,,,1,,2,0
E3,10,20-Jun,Samara,,,,0,,6,0
E3,11,20-Jun,Samara,,,,0,,3,0
E3,12,20-Jun,Samara,,,,0,,3,0
E3,13,20-Jun,Samara,,,,3,,6,2
E3,14,20-Jun,Samara,,,,0,,6,0
E3,15,20-Jun,Samara,,,,0,,5,1
E3,16,20-Jun,Samara,,,,0,,5,0
E3,17,20-Jun,Samara,,,,0,,5,0
E3,18,20-Jun,Samara,,,,1,,4,0
E3,19,20-Jun,Samara,,,,0,,5,0
E3,20,20-Jun,Samara,,,,0,,6,2
E3,21,20-Jun,Samara,,,,1,,1,0
E3,22,20-Jun,Samara,,,,1,,4,0
E3,23,20-Jun,Samara,,,,2,,6,0
E3,24,20-Jun,Samara,,,,0,,3,0
E3,25,20-Jun,Samara,,,,0,,5,0
E3,26,20-Jun,Samara,,,,1,,4,0
E3,27,20-Jun,Samara,,,,1,,2,0
E3,28,20-Jun,Samara,,,,0,,5,0
E3,29,20-Jun,Samara,,,,0,,4,0
E3,30,20-Jun,Samara,,,,0,,6,0
E3,31,20-Jun,Samara,,,,1,,4,0
E3,32,20-Jun,Samara,,,,0,,6,0
E3,33,20-Jun,Samara,,,,1,,10,0
E3,34,20-Jun,Samara,,,,0,,2,0
E3,35,20-Jun,Samara,,,,2,,4,0
E3,36,20-Jun,Samara,,,,1,,4,0
E3,37,20-Jun,Samara,,,,1,,6,0
E3,38,20-Jun,Samara,,,,1,,4,0
E3,39,20-Jun,Samara,,,,0,,5,0
E3,40,20-Jun,Samara,,,,1,,5,0
E3,41,20-Jun,Samara,,,,1,,6,0
E3,42,20-Jun,Samara,,,,1,,5,0
E3,43,20-Jun,Samara,,,,1,,2,0
E3,44,20-Jun,Samara,,,,2,,2,0
E3,45,20-Jun,Samara,,,,1,,6,0
E3,46,20-Jun,Samara,,,,1,,3,0
E3,47,20-Jun,Samara,,,,0,,3,0
E3,48,20-Jun,Samara,,,,1,,5,0
E3,49,20-Jun,Samara,,,,0,,3,0
E3,50,20-Jun,Samara,,,,0,,2,0
E3,51,20-Jun,Samara,,,,NA,,NA,NA
E3,52,20-Jun,Samara,,,,0,,4,0
E3,53,20-Jun,Samara,,,,1,,4,0
E3,54,20-Jun,Samara,,,,1,,6,0
E3,55,20-Jun,Samara,,,,1,,5,0
E3,56,20-Jun,Samara,,,,2,,2,0
E3,57,20-Jun,Samara,,,,1,,2,0
E3,58,20-Jun,Samara,,,,1,,6,1
E3,59,20-Jun,Samara,,,,0,,2,0
E3,60,20-Jun,Samara,,,,1,,4,0
E3,61,20-Jun,Samara,,,,0,,3,0
E3,62,20-Jun,Samara,,,,2,,4,0
E3,63,20-Jun,Samara,,,,0,,6,0
E3,64,20-Jun,Samara,,,,2,,3,0
E3,65,20-Jun,Samara,,,,2,,2,0
E3,66,20-Jun,Samara,,,,2,,4,0
E3,67,20-Jun,Samara,,,,1,,2,0
E3,68,20-Jun,Samara,,,,0,,3,0
E3,69,20-Jun,Samara,,,,1,,5,0
E3,70,20-Jun,Samara,,,,1,,3,0
E3,71,20-Jun,Samara,,,,1,,2,1
E3,72,20-Jun,Samara,,,,1,,1,0
E3,73,20-Jun,Samara,,,,1,,6,0
E3,74,20-Jun,Samara,,,,0,,3,0
E3,75,20-Jun,Samara,,,,2,,1,1
E3,76,20-Jun,Samara,,,,1,,6,0
E3,77,20-Jun,Samara,,,,0,,2,0
E3,78,20-Jun,Samara,,,,1,,6,0
E3,79,20-Jun,Samara,,,,1,,4,0
E3,80,20-Jun,Samara,,,,1,,7,0
E3,81,20-Jun,Samara,,,,2,,3,0
E3,82,20-Jun,Samara,,,,1,,1,0
E3,83,20-Jun,Samara,,,,1,,5,0
E3,84,20-Jun,Samara,,,,0,,2,0
E3,85,20-Jun,Samara,,,,1,,2,1
E3,86,20-Jun,Samara,,,,2,,3,0
E3,87,20-Jun,Samara,,,,0,,3,0
E3,88,20-Jun,Samara,,,,0,,2,0
E3,89,20-Jun,Samara,,,,1,,2,0
E3,90,20-Jun,Samara,,,,0,,7,0
E3,91,20-Jun,Samara,,,,NA,,NA,NA
E3,92,20-Jun,Samara,,,,0,,4,0
E3,93,20-Jun,Samara,,,,0,,3,0
E3,94,20-Jun,Samara,,,,0,,3,0
E3,95,20-Jun,Samara,,,,1,,3,0
E3,96,20-Jun,Samara,,,,1,,5,0
E3,97,20-Jun,Samara,,,,1,,2,0
E3,98,20-Jun,Samara,,,,1,,4,0
E3,99,20-Jun,Samara,,,,0,,2,0
E3,100,20-Jun,Samara,,,,0,,5,0
E3,101,20-Jun,Samara,,,,0,,4,0
E3,102,20-Jun,Samara,,,,NA,,NA,NA
E3,103,20-Jun,Samara,,,,0,,6,0
E3,104,20-Jun,Samara,,,,1,,4,0
E3,105,20-Jun,Samara,,,,1,,5,0
E3,106,20-Jun,Samara,,,,1,,6,0
E3,107,20-Jun,Samara,,,,0,,5,0
