block ,individual,date,surveyor,stem_length,bud_length,flower_length,fruit_length,note,stem_switch
E1,84,20/6/2018,N/A,88,,,,,
E1,85,20/6/2018,N/A,61,,,,,
E1,86,20/6/2018,N/A,77,78,,,,
E1,87,20/6/2018,N/A,85,,,,,
E1,88,20/6/2018,N/A,83,86,,,,
E1,89,20/6/2018,N/A,55,,,,,
E1,90,20/6/2018,N/A,77,78,,,,
E1,91,20/6/2018,N/A,12,,,,,
E1,92,20/6/2018,N/A,64,65,,,,
E1,93,20/6/2018,N/A,90,91,,,,
E1,94,20/6/2018,N/A,101,,,,,
E1,95,20/6/2018,N/A,63.5,,,,,
E1,96,20/6/2018,N/A,74,,,,,
E1,97,20/6/2018,N/A,76.5,,,,,
E1,98,20/6/2018,N/A,104,107.5,,,,
E1,99,20/6/2018,N/A,78,,,,,
E1,100,20/6/2018,N/A,85,,,,,
E1,101,20/6/2018,N/A,91,,,,,
E1,102,20/6/2018,N/A,90,,,,,
E1,103,20/6/2018,N/A,87,,,,,
E1,104,20/6/2018,N/A,76,,,,,
E1,105,20/6/2018,N/A,101,103,,,,
E1,106,20/6/2018,N/A,82.5,,,,,
E1,107,20/6/2018,N/A,83,,,,,
E1,108,20/6/2018,N/A,83,,,,,
E1,109,20/6/2018,N/A,94,,,,,
E1,110,20/6/2018,N/A,99,,,,,
E1,111,20/6/2018,N/A,76,,,,,
E1,112,20/6/2018,N/A,99,101,,,,
E1,113,20/6/2018,N/A,99,,,,,
E1,114,20/6/2018,N/A,79,,,,,
E1,115,20/6/2018,N/A,116,,,,,
E1,116,20/6/2018,N/A,81,,,,,
E1,117,20/6/2018,N/A,73,,,,,
E1,118,20/6/2018,N/A,85,,,,,
E1,119,20/6/2018,N/A,97.5,,,,,
E1,120,20/6/2018,N/A,90,,,,,
E1,121,20/6/2018,N/A,76.5,,,,,
E1,122,20/6/2018,N/A,61,,,,,
E1,123,20/6/2018,N/A,71,,,,,
E1,124,20/6/2018,N/A,64,,,,,
E1,125,20/6/2018,N/A,102.5,,,,,
E1,126,20/6/2018,N/A,62.5,,,,,
E1,127,20/6/2018,N/A,52,,,,,
E1,128,20/6/2018,N/A,71,79.5,,,,
E1,129,20/6/2018,N/A,67,,,,,
E1,130,20/6/2018,N/A,83,,,,,
E1,131,20/6/2018,N/A,63,64,,,,
E1,132,20/6/2018,N/A,76,,,,,
E1,133,20/6/2018,N/A,97,99,,,,
E1,134,20/6/2018,N/A,96,,,,,
E1,135,20/6/2018,N/A,89,,,,,
E1,136,20/6/2018,N/A,107,110.5,,,,
E1,137,20/6/2018,N/A,67,71.5,,,,
E1,138,20/6/2018,N/A,78,,,,,
E1,139,20/6/2018,N/A,78,79,,,,
E1,140,20/6/2018,N/A,79,,,,,
E1,141,20/6/2018,N/A,98,,,,,
E1,142,20/6/2018,N/A,99,103.5,,,,
E1,143,20/6/2018,N/A,92,,,,,
E1,144,20/6/2018,N/A,109,110,,,,
E1,145,20/6/2018,N/A,109,,,,,
E1,146,20/6/2018,N/A,84,,,,,
E1,147,20/6/2018,N/A,52,,,,,
E1,148,20/6/2018,N/A,102,,,,,
E1,149,20/6/2018,N/A,101,,,,,
E1,150,20/6/2018,N/A,76,,,,,
E1,151,20/6/2018,N/A,73,,,,,
E1,152,20/6/2018,N/A,94,94.5,,,,
E1,153,20/6/2018,N/A,71,,,,,
E1,154,20/6/2018,N/A,72,,,,,
E1,155,20/6/2018,N/A,80,,,,,
E1,156,20/6/2018,N/A,40,,,,,
E1,157,20/6/2018,N/A,75,76,,,,
E1,158,20/6/2018,N/A,83,,,,,
E1,159,20/6/2018,N/A,74,,,,,
E1,160,20/6/2018,N/A,86,,,,,
E1,161,20/6/2018,N/A,65,,,,,
E1,162,20/6/2018,N/A,64,,,,,
E1,163,20/6/2018,N/A,85,95,,,,
E1,164,20/6/2018,N/A,57,,,,,
E1,165,20/6/2018,N/A,80,81.5,,,,
E1,166,20/6/2018,N/A,66.5,,,,,
E1,167,20/6/2018,N/A,53,,,,,
E1,168,20/6/2018,N/A,112,115,,,,
E1,169,20/6/2018,N/A,92,93.5,,,,
E1,170,20/6/2018,N/A,92,94,,,,
E1,171,20/6/2018,N/A,59,,,,,
E1,172,20/6/2018,N/A,70,,,,,
E1,173,20/6/2018,N/A,103,109.5,,,,
E1,174,20/6/2018,N/A,59,,,,,
E1,175,20/6/2018,N/A,64,65,,,,
E1,176,20/6/2018,N/A,71,,,,,
E1,177,20/6/2018,N/A,77,,,,,
E1,178,20/6/2018,N/A,88,97.5,,,,
E1,179,20/6/2018,N/A,79,,,,,
E1,180,20/6/2018,N/A,89,,,,,
E1,181,20/6/2018,N/A,86,87,,,,
E1,182,20/6/2018,N/A,66,,,,,
E1,183,20/6/2018,N/A,89,106,96,,,
E1,184,20/6/2018,N/A,83,,,,,
E1,185,20/6/2018,N/A,75.5,,,,,
E1,186,20/6/2018,N/A,96,97,,,,
E1,187,20/6/2018,N/A,63,,,,,
E1,188,20/6/2018,N/A,108,117.5,,,,
E1,189,20/6/2018,N/A,76,,,,,
E1,190,20/6/2018,N/A,85,,,,,
E1,191,20/6/2018,N/A,72,,,,,
E1,192,20/6/2018,N/A,62,,,,,
E1,193,20/6/2018,N/A,80,86.5,,,,
E1,194,20/6/2018,N/A,63,,,,,
E1,195,20/6/2018,N/A,75,,,,,
E1,196,20/6/2018,N/A,75,,,,,
E1,197,20/6/2018,N/A,77,,,,,
E1,198,20/6/2018,N/A,78,82,,,,
E1,199,20/6/2018,N/A,56,,,,,
E1,200,20/6/2018,N/A,111,118.5,,,,
E2,1,20/6/2018,N/A,71.5,,,,,
E2,2,20/6/2018,N/A,71.5,,,,,
E2,3,20/6/2018,N/A,88,,,,,
E2,4,20/6/2018,N/A,61,,,,,
E2,5,20/6/2018,N/A,52,,,,,
E2,6,20/6/2018,N/A,89,,,,,
E2,7,20/6/2018,N/A,86,,,,,
E2,8,20/6/2018,N/A,73,,,,,
E2,9,20/6/2018,N/A,74.5,,,,,
E2,10,20/6/2018,N/A,69,,,,,
E2,11,20/6/2018,N/A,51.5,,,,,
E2,12,20/6/2018,N/A,76.5,78.5,,,,
E2,13,20/6/2018,N/A,61.5,63.5,,,,
E2,14,20/6/2018,N/A,71.5,,,,,
E2,15,20/6/2018,N/A,57,,,,,
E2,16,20/6/2018,N/A,97.5,,,,,
E2,17,20/6/2018,N/A,68,70.5,,,,
E2,18,20/6/2018,N/A,56,72,64,,,
E2,19,20/6/2018,N/A,74,,,,,
E2,20,20/6/2018,N/A,66,,,,,
E2,21,20/6/2018,N/A,96.5,,,,,
E2,22,20/6/2018,N/A,99,101.5,,,,
E2,23,20/6/2018,N/A,86.5,,,,,
E2,24,20/6/2018,N/A,88,94.5,,,,
E2,25,20/6/2018,N/A,102,,,,,
E2,26,20/6/2018,N/A,94,97.5,,,,
E2,27,20/6/2018,N/A,69.5,,,,,
E2,28,20/6/2018,N/A,77.5,,,,,
E2,29,20/6/2018,N/A,93.5,98.5,,,,
E2,30,20/6/2018,N/A,49,,,,,
E2,31,20/6/2018,N/A,88.5,92.5,,,,
E2,32,20/6/2018,N/A,92.5,,,,,
E2,33,20/6/2018,N/A,97,,,,,
E2,34,20/6/2018,N/A,77,,,,,
E2,35,20/6/2018,N/A,70.5,,,,,
E2,36,20/6/2018,N/A,51.5,,,,,
E2,37,20/6/2018,N/A,58.5,,,,,
E2,38,20/6/2018,N/A,86.5,,,,,
E2,39,20/6/2018,N/A,79,,,,,
E2,40,20/6/2018,N/A,27,,,,,
E2,41,20/6/2018,N/A,86,89,,,,
E2,42,20/6/2018,N/A,76,,,,,
E2,43,20/6/2018,N/A,82.5,,,,,
E2,44,20/6/2018,N/A,81,,,,,
E2,45,20/6/2018,N/A,76.5,,,,,
E2,46,20/6/2018,N/A,58,,,,,
E2,47,20/6/2018,N/A,52,,,,,
E2,48,20/6/2018,N/A,62.5,,,,,
E2,49,20/6/2018,N/A,45.5,,,,,
E2,50,20/6/2018,N/A,52,,,,,
E2,51,20/6/2018,N/A,69,,,,,
E2,52,20/6/2018,N/A,47,,,,,
E2,53,20/6/2018,N/A,91.5,,,,,
E2,54,20/6/2018,N/A,77.5,,,,,
E2,55,20/6/2018,N/A,76,,,,,
E2,56,20/6/2018,N/A,77,80.5,,,,
E2,57,20/6/2018,N/A,98,101,,,,
E2,58,20/6/2018,N/A,56,,,,,
E2,59,20/6/2018,N/A,68.5,,,,,
E2,60,20/6/2018,N/A,61.5,,,,,
E2,61,20/6/2018,N/A,84,,,,,
E2,62,20/6/2018,N/A,45.5,,,,,
E2,63,20/6/2018,N/A,75.5,,,,,
E2,64,20/6/2018,N/A,54.5,,,,,
E2,65,20/6/2018,N/A,85.5,,,,,
E2,66,20/6/2018,N/A,40,,,,,
E2,67,20/6/2018,N/A,46.5,,,,,
E2,68,20/6/2018,N/A,83,,,,,
E2,69,20/6/2018,N/A,82,,,,,
E2,70,20/6/2018,N/A,62,65.5,,,,
E2,71,20/6/2018,N/A,78,,,,,
E2,72,20/6/2018,N/A,71,73.5,,,,
E2,73,20/6/2018,N/A,67,,,,,
E2,74,20/6/2018,N/A,90,,,,,
E2,75,20/6/2018,N/A,79.5,,,,,
E2,76,20/6/2018,N/A,83,,,,,
E2,77,20/6/2018,N/A,53.5,,,,,
E2,78,20/6/2018,N/A,63.5,,,,,
E2,79,20/6/2018,N/A,87,90,,,,
E2,80,20/6/2018,N/A,68.5,70,,,,
E2,81,20/6/2018,N/A,92.5,,,,,
E2,82,20/6/2018,N/A,82,,,,,
E2,83,20/6/2018,N/A,80.5,,,,,
E2,84,20/6/2018,N/A,41,,,,,
E2,85,20/6/2018,N/A,45,,,,,
E2,86,20/6/2018,N/A,62,,,,,
E2,87,20/6/2018,N/A,72.5,77,,,,
E2,88,20/6/2018,N/A,42.5,,,,,
E2,89,20/6/2018,N/A,38.5,,,,,
E2,90,20/6/2018,N/A,79.5,,,,,
E2,91,20/6/2018,N/A,96,,,,,
E2,92,20/6/2018,N/A,72.5,,,,,
E2,93,20/6/2018,N/A,50.5,,,,,
E2,94,20/6/2018,N/A,56.5,,,,,
E2,95,20/6/2018,N/A,63,,,,,
E2,96,20/6/2018,N/A,21,,,,,
E2,97,20/6/2018,N/A,84,,,,,
E2,98,20/6/2018,N/A,87.5,,,,,
E2,99,20/6/2018,N/A,69,,,,,
E2,100,20/6/2018,N/A,105.5,,,,,
E2,101,20/6/2018,N/A,missing,,,,,
E2,102,20/6/2018,N/A,missing,,,,,
E2,103,20/6/2018,N/A,90,,,,,
E2,104,20/6/2018,N/A,missing,,,,,
E2,105,20/6/2018,N/A,missing,,,,,
E2,106,20/6/2018,N/A,missing,,,,,
E2,107,20/6/2018,N/A,missing,,,,,
E2,108,20/6/2018,N/A,68.5,,,,,
E2,109,20/6/2018,N/A,87.5,,,,,
E2,110,20/6/2018,N/A,missing,,,,,
E2,111,20/6/2018,N/A,78.5,,,,,
E2,112,20/6/2018,N/A,42,,,,,
E2,113,20/6/2018,N/A,81,,,,,
E2,114,20/6/2018,N/A,59,,,,,
E2,115,20/6/2018,N/A,30,,,,,
E2,116,20/6/2018,N/A,81,,,,,
E2,117,20/6/2018,N/A,62.5,63.5,,,,
E2,118,20/6/2018,N/A,62,,,,,
E2,119,20/6/2018,N/A,23.5,,,,,
E2,120,20/6/2018,N/A,48.5,,,,,
E2,121,20/6/2018,N/A,95,99,,,,
E2,122,20/6/2018,N/A,57,,,,,
E2,123,20/6/2018,N/A,78.5,,,,,
E2,124,20/6/2018,N/A,77.5,78.5,,,,
E2,125,20/6/2018,N/A,82,,,,,
E2,126,20/6/2018,N/A,61,,,,,
E2,127,20/6/2018,N/A,72,,,,,
E2,128,20/6/2018,N/A,97.5,,,,,
E2,129,20/6/2018,N/A,49,,,,,
E2,130,20/6/2018,N/A,69,,,,,
E2,131,20/6/2018,N/A,87,,,,,
E2,132,20/6/2018,N/A,66,,,,,
E2,133,20/6/2018,N/A,34,,,,,
E2,134,20/6/2018,N/A,61.5,,,,,
E2,135,20/6/2018,N/A,98,,,,,
E2,136,20/6/2018,N/A,68,,,,,
E2,137,20/6/2018,N/A,54.5,,,,,
E2,138,20/6/2018,N/A,66,,,,,
E2,139,20/6/2018,N/A,71.5,,,,,
E2,140,20/6/2018,N/A,76,81,,,,
E2,141,20/6/2018,N/A,35.5,,,,,
E2,142,20/6/2018,N/A,96,,,,,
E2,143,20/6/2018,N/A,113,,,,,
E2,144,20/6/2018,N/A,65,,,,,
E2,145,20/6/2018,N/A,88.5,90.5,,,,
E2,146,20/6/2018,N/A,65,,,,,
E2,147,20/6/2018,N/A,74.5,,,,,
E2,148,20/6/2018,N/A,101,103,,,,
E2,149,20/6/2018,N/A,91,92,,,,
E2,150,20/6/2018,N/A,44,,,,,
E2,151,20/6/2018,N/A,959,,,,,
E2,152,20/6/2018,N/A,97.5,,,,,
E2,153,20/6/2018,N/A,59,,,,,
E2,154,20/6/2018,N/A,97,,,,,
E2,155,20/6/2018,N/A,95,106.5,,,,
E2,156,20/6/2018,N/A,62.5,,,,,
E2,157,20/6/2018,N/A,61,,,,,
E2,158,20/6/2018,N/A,64,66,,,,
E2,159,20/6/2018,N/A,53.5,,,,,
E2,160,20/6/2018,N/A,82,,,,,
E2,161,20/6/2018,N/A,73,74,,,,
E2,162,20/6/2018,N/A,57,,,,,
E2,163,20/6/2018,N/A,76.5,,,,,
E2,164,20/6/2018,N/A,65,,,,,
E2,165,20/6/2018,N/A,85,,,,,
E2,166,20/6/2018,N/A,47,,,,,
E2,167,20/6/2018,N/A,74,,,,,
E2,168,20/6/2018,N/A,64,69,,,,
E2,169,20/6/2018,N/A,49,,,,,
E2,170,20/6/2018,N/A,51,,,,,
E2,171,20/6/2018,N/A,60,,,,,
E2,172,20/6/2018,N/A,49.5,,,,,
E2,173,20/6/2018,N/A,67,,,,,
E2,174,20/6/2018,N/A,73.5,,,,,
E2,175,20/6/2018,N/A,78.5,,,,,
E2,176,20/6/2018,N/A,67,,,,,
E2,177,20/6/2018,N/A,76,,,,,
E2,178,20/6/2018,N/A,73,76,,,,
E2,179,20/6/2018,N/A,37,,,,,
E2,180,20/6/2018,N/A,58,65.5,,,,
E2,181,20/6/2018,N/A,57.5,,,,,
E2,182,20/6/2018,N/A,57,,,,,
E2,183,20/6/2018,N/A,95.5,97,,,,
E2,184,20/6/2018,N/A,55,,,,,
E2,185,20/6/2018,N/A,78.5,,,,,
E2,186,20/6/2018,N/A,41,,,,,
E2,187,20/6/2018,N/A,23,,,,,
E2,188,20/6/2018,N/A,90,92,,,,
E2,189,20/6/2018,N/A,78,,,,,
E2,190,20/6/2018,N/A,70,73,,,,
E2,191,20/6/2018,N/A,54,,,,,
E2,192,20/6/2018,N/A,73,,,,,
E2,193,20/6/2018,N/A,70,,,,,
E2,194,20/6/2018,N/A,51.5,52,,,,
E2,195,20/6/2018,N/A,55,,,,,
E2,196,20/6/2018,N/A,51,,,,,
E2,197,20/6/2018,N/A,69,,,,,
E2,198,20/6/2018,N/A,33,,,,,
E2,199,20/6/2018,N/A,69,,,,,
E2,200,20/6/2018,N/A,78.5,,,,,
E2,201,20/6/2018,N/A,96,,,,,
E2,202,20/6/2018,N/A,56.5,,,,,
E2,203,20/6/2018,N/A,58,,,,,
E2,204,20/6/2018,N/A,72,,,,,
E2,205,20/6/2018,N/A,92,95.5,,,,
E11,1,20/6/2018,Rob,92,,,,,
E11,2,20/6/2018,Rob,99,101,,,,
E11,3,20/6/2018,Rob,71,,,,,
E11,4,20/6/2018,Rob,78,79,,,,
E11,5,20/6/2018,Rob,73,,,,,
E11,6,20/6/2018,Rob,64,65.5,,,,
E11,7,20/6/2018,Rob,101,,,,,
E11,8,20/6/2018,Rob,70,,,,,
E11,9,20/6/2018,Rob,82.5,,,,,
E11,10,20/6/2018,Rob,73,75.5,,,,
E11,11,20/6/2018,Rob,87.5,,,,,
E11,12,20/6/2018,Rob,78,81.5,,,,
E11,13,20/6/2018,Rob,79.5,,,,,
E11,14,20/6/2018,Rob,67.5,,,,,
E11,15,20/6/2018,Rob,62.5,,,,,
E11,16,20/6/2018,Rob,62,,,,,
E11,17,20/6/2018,Rob,51,,,,,
E11,18,20/6/2018,Rob,91.5,,,,,
E11,19,20/6/2018,Rob,78,79.5,,,,
E11,20,20/6/2018,Rob,64,,,,,
E11,21,20/6/2018,Rob,68,69,,,,
E11,22,20/6/2018,Rob,66.5,,,,,
E11,23,20/6/2018,Rob,70.5,,,,,
E11,24,20/6/2018,Rob,62.5,,,,,
E11,25,20/6/2018,Rob,51.5,,,,,
E11,26,20/6/2018,Rob,75,,,,,
E11,27,20/6/2018,Rob,57,,,,,
E11,28,20/6/2018,Rob,75,,,,,
E11,29,20/6/2018,Rob,96,,,,,
E11,30,20/6/2018,Rob,74.5,75.5,,,,
E11,31,20/6/2018,Rob,46.5,,,,,
E11,32,20/6/2018,Rob,53,,,,,
E11,33,20/6/2018,Rob,65,69.5,,,,
E11,34,20/6/2018,Rob,56,58,,,,
E11,35,20/6/2018,Rob,55.5,61,,,,
E11,36,20/6/2018,Rob,71,73.5,,,,
E11,37,20/6/2018,Rob,52,,,,,
E11,38,20/6/2018,Rob,62,,,,,
E11,39,20/6/2018,Rob,74.5,76,,,,
E11,40,20/6/2018,Rob,44,,,,,
E11,41,20/6/2018,Rob,49,,,,,
E11,42,20/6/2018,Rob,61.5,,,,,
E11,43,20/6/2018,Rob,35,,,,,
E11,44,20/6/2018,Rob,77,,,,,
E11,45,20/6/2018,Rob,58,,,,,
E11,46,20/6/2018,Rob,86,,,,,
E11,47,20/6/2018,Rob,42.5,,,,,
E11,48,20/6/2018,Rob,55,,,,,
E11,49,20/6/2018,Rob,50,54.5,,,,
E11,50,20/6/2018,Rob,50,,,,,
E11,51,20/6/2018,Rob,93,,,,,
E11,52,20/6/2018,Rob,76.5,82,,,,
E11,53,20/6/2018,Rob,68,,,,,
E11,54,20/6/2018,Rob,54,,,,,
E11,55,20/6/2018,Rob,75,81,,,,
E11,56,20/6/2018,Rob,70,73.5,,,,
E11,57,20/6/2018,Rob,51,71.5,60,,,
E11,58,20/6/2018,Rob,67,72,,,,
E11,59,20/6/2018,Rob,43.5,,,,,
E11,60,20/6/2018,Rob,49.5,,,,,
E11,61,20/6/2018,Rob,92.5,103,,,,
E11,62,20/6/2018,Rob,56,,,,,
E11,63,20/6/2018,Rob,83,,,,,
E11,64,20/6/2018,Rob,84,91.5,,,,
E11,65,20/6/2018,Rob,44.5,,,,,
E11,66,20/6/2018,Rob,80,,,,,
E11,67,20/6/2018,Rob,67,73.5,,,,
E11,68,20/6/2018,Rob,80,88.5,81.5,,,
E11,69,20/6/2018,Rob,missing,,,,,
E11,70,20/6/2018,Rob,67.5,,,,,
E11,71,20/6/2018,Rob,86,,,,,
E11,72,20/6/2018,Rob,53,,,,,
E11,73,20/6/2018,Rob,72,,,,,
E11,74,20/6/2018,Rob,65,,,,,
E11,75,20/6/2018,Rob,67,,,,,
E11,76,20/6/2018,Rob,58,,,,,
E11,77,20/6/2018,Rob,35,,,,,
E11,78,20/6/2018,Rob,81,85,,,,
E11,79,20/6/2018,Rob,48,50,,,,
E11,80,20/6/2018,Rob,71.5,,,,,
E11,81,20/6/2018,Rob,89,,,,,
E11,82,20/6/2018,Rob,77,,,,,
E11,83,20/6/2018,Rob,46,,,,,
E11,84,20/6/2018,Rob,87.5,,,,,
E11,85,20/6/2018,Rob,73,,,,,
E11,86,20/6/2018,Rob,85.5,,,,,
E11,87,20/6/2018,Rob,82,,,,,
E11,88,20/6/2018,Rob,87.5,,,,,
E11,89,20/6/2018,Rob,53,55,,,,
E11,90,20/6/2018,Rob,81,,,,,
E11,91,20/6/2018,Rob,58,,,,,
E11,92,20/6/2018,Rob,72.5,,,,,
E11,93,20/6/2018,Rob,78,81.5,,,,
E11,94,20/6/2018,Rob,70.5,,,,,
E11,95,20/6/2018,Rob,84,90,,,,
E11,96,20/6/2018,Rob,missing,,,,,
E11,97,20/6/2018,Rob,68,,,,,
E11,98,20/6/2018,Rob,60.5,,,,,
E11,99,20/6/2018,Rob,100,,,,,
E11,100,20/6/2018,Rob,49,,,,,
E11,101,20/6/2018,Jamie,88,91,,,,
E11,102,20/6/2018,Jamie,71,,,,,
E11,103,20/6/2018,Jamie,56,,,,,
E11,104,20/6/2018,Jamie,77,,,,,
E11,105,20/6/2018,Jamie,59,,,,,
E11,106,20/6/2018,Jamie,70,,,,,
E11,107,20/6/2018,Jamie,67,73,,,,
E11,108,20/6/2018,Jamie,65,66,,,,
E11,109,20/6/2018,Jamie,68,,,,,
E11,110,20/6/2018,Jamie,63,,,,,
E11,111,20/6/2018,Jamie,76,,,,,
E11,112,20/6/2018,Jamie,85,,,,,
E11,113,20/6/2018,Jamie,78,,,,,
E11,114,20/6/2018,Jamie,38,,,,,
E11,115,20/6/2018,Jamie,90,,,,,
E11,116,20/6/2018,Jamie,42,,,,,
E11,117,20/6/2018,Jamie,61,,,,,
E11,118,20/6/2018,Jamie,72,,,,,
E11,119,20/6/2018,Jamie,84,,,,,
E11,120,20/6/2018,Jamie,106,,,,,
E11,121,20/6/2018,Jamie,30,,,,,
E11,122,20/6/2018,Jamie,42,,,,,
E11,123,20/6/2018,Jamie,77,,,,,
E11,124,20/6/2018,Jamie,48,,,,,
E11,125,20/6/2018,Jamie,65,,,,,
E11,126,20/6/2018,Jamie,100,,,,,
E11,127,20/6/2018,Jamie,57,,,,,
E11,128,20/6/2018,Jamie,63,65,,,,
E11,129,20/6/2018,Jamie,51,,,,,
E11,130,20/6/2018,Jamie,74,78,,,,
E11,131,20/6/2018,Jamie,81,87,,,,
E11,132,20/6/2018,Jamie,51,,,,,
E11,133,20/6/2018,Jamie,27,,,,,
E11,134,20/6/2018,Jamie,48,,,,,
E11,135,20/6/2018,Jamie,68,71,,,,
E11,136,20/6/2018,Jamie,94,101,,,,
E11,137,20/6/2018,Jamie,78,81,,,,
E11,138,20/6/2018,Jamie,87,,,,,
E11,139,20/6/2018,Jamie,75,,,,,
E11,140,20/6/2018,Jamie,85,90,,,,
E11,141,20/6/2018,Jamie,80,,,,,
E11,142,20/6/2018,Jamie,77,,,,,
E11,143,20/6/2018,Jamie,96,,,,,
E11,144,20/6/2018,Jamie,68,70,,,,
E11,145,20/6/2018,Jamie,60,,,,,
E11,146,20/6/2018,Jamie,46,,,,,
E11,147,20/6/2018,Jamie,72,,,,,
E11,148,20/6/2018,Jamie,86,89,,,,
E11,149,20/6/2018,Jamie,64,,,,,
E11,150,20/6/2018,Jamie,53,,,,,
E11,151,20/6/2018,Jamie,56,,,,,
E11,152,20/6/2018,Jamie,74,,,,,
E11,153,20/6/2018,Jamie,missing,,,,,
E11,154,20/6/2018,Jamie,53,,,,,
E11,155,20/6/2018,Jamie,48,,,,,
E11,156,20/6/2018,Jamie,52,,,,,
E11,157,20/6/2018,Jamie,65,,,,,
E11,158,20/6/2018,Jamie,38,,,,,
E11,159,20/6/2018,Jamie,50,,,,,
E11,160,20/6/2018,Jamie,66,,,,,
E11,161,20/6/2018,Jamie,50,51,,,,
E11,162,20/6/2018,Jamie,61,,,,,
E11,163,20/6/2018,Jamie,45,,,,,
E11,164,20/6/2018,Jamie,68,,,,,
E11,165,20/6/2018,Jamie,57,,,,,
E11,166,20/6/2018,Jamie,76,,,,,
E11,167,20/6/2018,Jamie,51,,,,,
E11,168,20/6/2018,Jamie,64,,,,,
E11,169,20/6/2018,Jamie,47,,,,,
E11,170,20/6/2018,Jamie,55,,,,,
E11,171,20/6/2018,Jamie,54,,,,,
E11,172,20/6/2018,Jamie,57,,,,,
E11,173,20/6/2018,Jamie,55,,,,,
