date,measurer,block,pos,dmg.score,egg,larvae,adult,weevil,other.herb,undamaged.stems,damaged.stems,total.stems,focal.dam,notes
20-Jun-19,Claire,E4,129,1,1,1,0,NA,NA,3,1,4,1,
20-Jun-19,Claire,E4,130,2,1,1,0,NA,NA,8,2,10,0,
20-Jun-19,Claire,E4,131,1,1,0,0,NA,NA,6,0,6,0,
20-Jun-19,Claire,E4,132,0,0,0,0,NA,NA,5,1,6,0,
20-Jun-19,Claire,E4,133,1,0,0,0,NA,NA,2,0,2,0,
20-Jun-19,Claire,E4,134,1,0,0,0,NA,NA,8,1,9,0,
20-Jun-19,Claire,E4,135,1,0,0,0,NA,NA,6,1,7,1,
20-Jun-19,Claire,E4,136,2,0,0,0,NA,NA,8,0,8,0,
20-Jun-19,Claire,E4,137,3,1,0,0,NA,NA,1,1,2,1,
20-Jun-19,Claire,E4,138,2,1,1,0,NA,NA,2,0,2,0,
20-Jun-19,Claire,E4,139,1,0,0,0,NA,NA,1,0,1,0,
20-Jun-19,Claire,E4,140,1,0,0,0,NA,NA,11,1,12,0,
20-Jun-19,Claire,E4,141,1,0,0,0,NA,NA,2,1,3,0,
20-Jun-19,Claire,E4,142,2,1,0,0,NA,NA,1,1,2,0,
20-Jun-19,Claire,E4,143,1,1,0,0,NA,NA,2,3,5,0,
20-Jun-19,Claire,E4,144,1,0,0,0,NA,NA,1,0,1,0,
20-Jun-19,Claire,E4,145,1,0,0,0,NA,NA,4,0,4,0,
20-Jun-19,Claire,E4,146,4,1,1,0,NA,NA,1,2,3,0,
20-Jun-19,Claire,E4,147,1,1,0,0,NA,NA,5,2,7,0,
20-Jun-19,Claire,E4,148,1,1,0,0,NA,NA,2,3,5,0,
20-Jun-19,Claire,E4,149,2,1,0,0,NA,NA,3,1,4,0,
20-Jun-19,Claire,E4,150,2,1,0,0,NA,NA,3,1,4,0,
20-Jun-19,Claire,E4,151,1,1,1,0,NA,NA,2,3,5,1,
20-Jun-19,Claire,E4,152,1,1,0,0,NA,NA,1,1,2,0,
20-Jun-19,Claire,E4,153,2,1,0,0,NA,NA,5,1,6,0,
20-Jun-19,Claire,E4,154,2,1,0,0,NA,NA,2,0,2,0,
20-Jun-19,Claire,E4,155,1,1,0,0,NA,NA,13,1,14,0,
20-Jun-19,Claire,E4,156,2,1,1,0,NA,NA,0,2,2,1,
20-Jun-19,Claire,E4,157,2,1,1,0,NA,NA,1,0,1,0,
20-Jun-19,Claire,E4,158,2,1,0,0,NA,NA,3,0,3,0,
20-Jun-19,Claire,E4,159,1,1,1,0,NA,NA,2,1,3,1,
20-Jun-19,Claire,E4,160,2,1,0,0,NA,NA,3,1,4,0,
20-Jun-19,Claire,E4,161,1,0,1,0,NA,NA,4,1,5,0,
20-Jun-19,Claire,E4,162,1,0,0,0,NA,NA,3,0,3,0,
20-Jun-19,Claire,E4,163,2,1,1,0,NA,NA,3,1,4,1,
20-Jun-19,Claire,E4,164,1,0,1,0,NA,NA,3,1,4,1,
20-Jun-19,Claire,E4,165,2,1,0,0,NA,NA,2,0,2,0,
20-Jun-19,Claire,E4,166,1,0,1,0,NA,NA,5,2,7,0,
20-Jun-19,Claire,E4,167,2,1,1,0,NA,NA,2,2,4,1,
20-Jun-19,Claire,E4,168,2,1,1,0,NA,NA,6,5,11,0,
20-Jun-19,Claire,E4,169,1,0,1,0,NA,NA,2,3,5,0,
20-Jun-19,Claire,E4,170,2,1,0,0,NA,NA,8,0,8,0,
20-Jun-19,Claire,E4,171,2,0,0,0,NA,NA,3,1,4,0,
20-Jun-19,Claire,E4,172,2,1,1,0,NA,NA,5,3,8,1,
20-Jun-19,Claire,E4,173,2,1,0,0,NA,NA,5,3,8,0,
20-Jun-19,Claire,E4,174,1,0,0,0,NA,NA,3,0,3,0,
20-Jun-19,Claire,E4,175,1,1,0,0,NA,NA,7,1,8,0,
20-Jun-19,Claire,E4,176,1,1,1,0,NA,NA,3,0,3,0,
20-Jun-19,Claire,E4,177,1,1,0,0,NA,NA,7,0,7,0,
20-Jun-19,Claire,E4,178,2,1,0,0,NA,NA,6,0,6,0,
20-Jun-19,Claire,E4,179,2,1,0,0,NA,NA,5,0,5,0,
20-Jun-19,Claire,E4,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20-Jun-19,Claire,E4,181,1,0,0,0,NA,NA,9,0,9,0,
20-Jun-19,Claire,E4,182,1,1,0,0,NA,NA,4,0,4,0,
20-Jun-19,Claire,E4,183,1,1,0,1,NA,NA,6,1,7,0,
20-Jun-19,Claire,E4,184,1,1,1,0,NA,NA,1,0,1,0,
20-Jun-19,Claire,E4,185,2,1,0,0,NA,NA,8,0,8,0,
20-Jun-19,Claire,E4,186,0,0,0,0,NA,NA,4,2,6,1,
20-Jun-19,Claire,E4,187,3,1,1,0,NA,NA,4,0,4,1,
20-Jun-19,Claire,E4,188,1,0,0,0,NA,NA,3,1,4,0,
20-Jun-19,Claire,E4,189,1,0,0,0,NA,NA,1,0,1,0,
20-Jun-19,Claire,E4,190,1,1,0,0,NA,NA,8,0,8,0,
20-Jun-19,Claire,E4,191,2,1,0,0,NA,NA,4,1,5,0,
20-Jun-19,Claire,E4,192,1,0,1,0,NA,NA,5,0,5,0,
20-Jun-19,Claire,E4,193,2,1,1,0,NA,NA,2,1,3,1,
20-Jun-19,Claire,E4,194,1,1,0,0,NA,NA,4,0,4,0,
20-Jun-19,Claire,E4,195,2,1,0,0,NA,NA,4,0,4,0,
20-Jun-19,Claire,E4,196,2,1,0,0,NA,NA,2,0,2,0,
20-Jun-19,Claire,E4,197,2,1,0,0,NA,NA,11,0,11,0,
20-Jun-19,Claire,E4,198,3,1,0,0,NA,NA,5,0,5,0,
20-Jun-19,Claire,E4,199,1,1,0,0,NA,NA,3,1,4,0,
20-Jun-19,Claire,E4,200,3,1,1,0,NA,NA,3,0,3,0,
20-Jun-19,Claire,E4,201,1,1,1,0,NA,NA,9,10,19,1,
June 18 2019,Evelyn,E1,1,1,0,0,0,NA,NA,2,1,3,0,
June 18 2019,Evelyn,E1,2,2,0,0,0,NA,NA,9,0,9,0,
June 18 2019,Evelyn,E1,3,1,0,0,0,NA,NA,1,1,2,0,
June 18 2019,Evelyn,E1,4,2,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,5,1,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,6,3,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,7,2,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,8,2,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,9,2,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,10,1,0,0,0,NA,NA,1,0,1,0,
June 18 2019,Evelyn,E1,11,1,0,0,0,NA,NA,6,0,6,0,
June 18 2019,Evelyn,E1,12,12,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,13,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,14,1,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,15,2,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,16,2,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,17,N/A,N/A,N/A,N/A,NA,NA,N/A,N/A,N/A,N/A,
June 18 2019,Evelyn,E1,18,0,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,19,3,0,0,0,NA,NA,6,1,7,0,
June 18 2019,Evelyn,E1,20,3,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,21,1,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,22,2,0,0,0,NA,NA,6,0,6,0,
June 18 2019,Evelyn,E1,23,1,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,24,1,0,0,0,NA,NA,6,0,6,0,
June 18 2019,Evelyn,E1,25,1,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,26,1,0,0,0,NA,NA,6,0,6,0,
June 18 2019,Evelyn,E1,27,0,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,28,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,29,1,0,0,0,NA,NA,1,0,1,0,
June 18 2019,Evelyn,E1,30,2,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,31,1,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,32,1,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,33,1,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,34,0,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,35,1,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,36,1,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,37,1,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,38,1,0,0,0,NA,NA,1,0,1,0,
June 18 2019,Evelyn,E1,39,0,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,40,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,41,1,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,42,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,43,0,0,0,0,NA,NA,7,0,7,0,
June 18 2019,Evelyn,E1,44,2,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,45,1,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,46,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,47,1,0,0,0,NA,NA,6,0,6,0,
June 18 2019,Evelyn,E1,48,3,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,49,1,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,50,0,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,51,2,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,52,1,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,53,0,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,54,0,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,55,1,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,56,1,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,57,0,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,58,1,0,0,0,NA,NA,8,0,8,0,
June 18 2019,Evelyn,E1,59,0,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,60,0,0,0,0,NA,NA,1,0,1,0,
June 18 2019,Evelyn,E1,61,1,0,0,0,NA,NA,8,0,8,0,
June 18 2019,Evelyn,E1,62,1,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,63,N/A,N/A,N/A,N/A,NA,NA,N/A,N/A,#VALUE!,N/A,
June 18 2019,Evelyn,E1,64,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,65,0,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,66,1,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,67,0,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,68,1,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,69,0,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,70,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,71,1,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,72,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,73,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,74,0,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,75,0,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,76,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,77,1,0,0,0,NA,NA,1,0,1,0,
June 18 2019,Evelyn,E1,78,0,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,79,0,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,80,0,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,81,1,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,82,0,0,0,0,NA,NA,4,1,5,0,
June 18 2019,Evelyn,E1,83,0,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,84,1,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,85,1,0,0,0,NA,NA,2,1,3,1,
June 18 2019,Evelyn,E1,86,1,0,0,0,NA,NA,7,0,7,0,
June 18 2019,Evelyn,E1,87,3,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,88,0,0,0,0,NA,NA,6,0,6,0,
June 18 2019,Evelyn,E1,89,3,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,90,2,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,91,1,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,92,1,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,93,0,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,94,0,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,95,1,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,96,2,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,97,1,0,0,0,NA,NA,5,1,6,0,
June 18 2019,Evelyn,E1,98,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,99,0,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,100,0,0,0,0,NA,NA,8,0,8,0,
June 18 2019,Evelyn,E1,101,0,0,0,0,NA,NA,5,1,6,0,
June 18 2019,Evelyn,E1,102,1,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,103,1,0,0,0,NA,NA,5,1,6,0,
June 18 2019,Evelyn,E1,104,1,0,0,0,NA,NA,7,0,7,0,
June 18 2019,Evelyn,E1,105,0,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,106,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,107,0,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,108,1,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,109,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,110,1,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,111,0,0,0,0,NA,NA,8,0,8,0,
June 18 2019,Evelyn,E1,112,0,0,0,0,NA,NA,2,1,3,1,
June 18 2019,Evelyn,E1,113,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,114,0,0,0,0,NA,NA,1,0,1,0,
June 18 2019,Evelyn,E1,115,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,116,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,117,0,0,0,0,NA,NA,4,0,4,0,
June 18 2019,Evelyn,E1,118,0,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,119,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,120,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,121,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,122,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,123,0,0,0,0,NA,NA,8,0,8,0,
June 18 2019,Evelyn,E1,124,1,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,125,2,0,0,0,NA,NA,7,0,7,0,
June 18 2019,Evelyn,E1,126,1,0,0,0,NA,NA,8,0,8,0,
June 18 2019,Evelyn,E1,127,0,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,128,3,1,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,129,0,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,130,0,0,0,0,NA,NA,3,1,4,0,
June 18 2019,Evelyn,E1,131,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,132,0,0,0,0,NA,NA,1,0,1,0,
June 18 2019,Evelyn,E1,133,1,0,0,0,NA,NA,1,0,1,0,
June 18 2019,Evelyn,E1,134,0,0,0,0,NA,NA,4,1,5,0,
June 18 2019,Evelyn,E1,135,0,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,136,0,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,137,0,0,0,0,NA,NA,3,0,3,0,
June 18 2019,Evelyn,E1,138,1,0,0,0,NA,NA,5,0,5,0,
June 18 2019,Evelyn,E1,139,1,0,0,0,NA,NA,2,0,2,0,
June 18 2019,Evelyn,E1,140,1,0,0,0,NA,NA,7,1,8,1,
